kod_subjekt,kod_iso,nazev
243,CH,Phonak AG
457,ES,Microson s.a.
924,SK,Aqvitox Technology s.r.o.
TOS,SI,Tosama d.o.o
988,GB,Advanced Medical Solutions Ltd.
R82,DK,R82 A/S
3M1,PL,3M Poland Manufacturing Sp. Z o.o.
SNM,GB,Smith & Nephew Medical Limited
SM1,CH,Smith & Nephew Orthopaedics AG
BAB,DE,"Bischoff & Bischoff GmbH, Medizin & Rehabilitationstechnik"
ABC,DE,ABC Breast Care GmbH
SNI,CZ,SNÍŽEK s.r.o.
923,SE,Allard International/Camp Scandinavia AB
CON,CZ,Contipro a.s.
PSP,CZ,PSP izoterm s.r.o.
RAU,CZ,"Lohmann & Rauscher, s.r.o."
943,FR,Winncare France
CVD,US,Covidien llc
PRM,CZ,"PROMA REHA, s.r.o."
929,CN,"Huaian Tianda Medical Instruments Co., Ltd."
937,US,Senseonics Incorporated
990,IT,TARTA DESIGN SRL
931,CZ,SHAPER s.r.o.
BD,CZ,"Becton Dickinson Czechia, s.r.o."
458,IT,AUTEL S r.l.
ISU,GB,Intersurgical Ltd
452,US,"Starkey Laboratories, Inc."
TEY,MY,Teleflex Medical Sdn. Bhd.
SAN,IT,Santex S.p.A.
977,IL,"Mego Afek AC Ltd., Located in Kibbutz Afek, 3004200, Israel"
985,CH,APR Applied Pharma Research s.a.
992,GB,Herida Healthcare Limited
956,AT,MED-EL Elektromedizinische Geräte GmbH
WEL,CN,"Wellspring Medical Supplies Co.,Ltd"
972,PK,Surgicrafts
JUZ,DE,Julius Zorn GmbH
FHM,US,Fountain Head Marketing Inc.
BUM,DE,Burmeier GmbH & Co. KG
MAN,GB,Mangar International Ltd.
HDG,FR,HERDEGEN SAS
LBB,CZ,"LB BOHEMIA, s.r.o."
KUP,CZ,KURY spol. s r.o.
912,US,Aspen Medical Products Inc.
901,GB,Respironics Respiratory Drug Delivery (UK) Ltd.
WNC,DK,Winncare Nordic AsP
PAN,CZ,PANEP s.r.o.
962,DE,audifon GmbH & Co. KG
B21,DK,SBO Hearing A/S
MHC,PL,MARMED HEALTH CARE Sp. z o.o.
VIS,TW,Visgeneer Inc.
WIL,CZ,"WILENS, spol. s r.o."
MOB,PL,Mobilex Sp. z o.o.
FDI,FR,FDI FRANCE MEDICAL
TIN,CZ,"TINA Mělník,s.r.o."
A95,US,Advanced Bionics LLC
ERG,CZ,ERGON a.s.
KMP,TW,KARMA MEDICAL PRODUCTS CO. LTD
PAT,CZ,PATRON Bohemia a.s.
GAA,CZ,GAMA GROUP a.s.
133,CZ,MAXIS a.s.
IDE,NL,Indes Production Management B.V.
161,DE,Eschenbach Optik Gmbh
334,CH,BERNAFON AG
932,US,Precision Medical Inc.
DZO,CZ,DZO s.r.o.
SDI,KR,"SD BIOSENZOR, INC."
OMR,JP,"Omron Healthcare Co., Ltd."
906,US,"medi USA, LP"
AGE,CZ,AGEUS REHA s.r.o.
KVK,CZ,Kopsa s.r.o.
RES,BE,Reskin Medical NV
158,CZ,A N T I C E R  s.r.o.
293,CZ,CHEIRÓN a.s.
REG,CZ,"REGECO, spol. s r.o."
IVO,CZ,Ivo Žemlička
AKS,DE,aks Aktuelle Krankenpflege Systeme GmbH
ERA,US,"ERGOACTIVES, LLC"
TIA,CN,"Tianjin Empecs Medical Device Co., Ltd."
IB1,IT,IBSA Farmaceutici Italia srl
IF,KR,"OSANG Healthcare Co., Ltd"
KCK,GB,Kimberly-Clark Europe Ltd.
TRL,IE,Trulife Ltd.
REP,CZ,REPO s.r.o.
A15,CN,"Promisemed Hangzhou Meditech Co., Ltd."
384,IT,Calze G.T.S.r.l.
PRI,NL,Pride Mobility Products Europe B.V.
LIL,US,Eli Lilly and Company Pharmaceutical Delivery Systems
FCS,CH,Fora Care Suisse AG
ETA,SE,ETAC AB
BAD,CZ,Bandage s.r.o. v likvidaci
919,US,Ferris Mfg. Corp.
SHC,GB,Salts Healthcare Ltd
PST,CZ,"Protetika Štěpánová a spol., s.r.o."
MLK,CZ,"MALÍK a spol., s.r.o., technicko-protetická péče"
DAR,DE,Darco (Europe) GmbH
OWM,GB,Owen Mumford Ltd.
FAC,US,"Facet Technologies, FFC"
EKO,CZ,"EKOVUK MEDI, s.r.o."
ING,CZ,"ING corporation, spol. s r.o."
928,GB,Chemviron Carbon Ltd.
DTP,NL,Dietz Power BV
TDC,TW,TaiDoc Technology Corporation
YER,CN,"Yercon Diagnostic Co., Ltd"
REB,DE,Rebotec Rehabilitationsmittel GmbH
BOC,DE,Hermann Bock GmbH
904,IT,Moretti S.p.A
ANK,US,"Anika Therapeutics, Inc."
PRT,FR,Laboratoire ProtecSom OptimHal SAS
ATI,US,Altimate Medical Inc.
SIC,CZ,SIMONSCARE s.r.o.
VAR,US,Cascade Designs Inc.
RE4,PL,REH4MAT Slawomir Wronski
MLA,CZ,MEDILAB ČR s.r.o.
BSR,CZ,"BIOSTER, a.s."
139,DE,Ofa Bamberg GmbH
BNM,TW,Bionime Corporation
LME,NL,Theo Manufacturing BV/ Triticum Exploitatie BV
942,US,CAIRE Inc.
NWM,CZ,NewWaterMeaning s.r.o.
MOS,GB,Moss Vision Incorporation Ltd
BOR,DE,BORT GmbH
916,GB,Performance Health lnternational Ltd
HYL,GB,Hyaltech Ltd.
390,IT,Pietrasanta Pharma S. p A.
ACM,CH,ActiMaris AG
915,FR,DRIVE DEVILBISS HEALTHCARE FRANCE
917,DE,Ossenberg GmbH
907,NL,Nea International bv
TEC,ES,Tecnoclínic SA
B74,US,Span Link International LLC
949,IE,Mylan Institutional Inverin
966,SK,EMG Care s.r.o.
BOP,IN,Biotech Vision Care Pvt. Ltd.
BRD,US,"C. R. Bard, Inc."
HMR,DE,Haselmeier GmbH
939,IE,LM Global Design Ltd.
936,DE,Thuasne Deutschland GmbH
ANI,DE,Anita Dr. Helbig GmbH
HOR,DE,Hoffrichter GmbH
453,CN,"Xiamen NewSound Technology Co.,Ltd"
FGZ,DE,FIOR & GENTZ GmbH
SE1,DE,SERAG-WIESSNER GmbH & Co. KG
B50,PL,ELBUR sp. z o.o. sp.k.
914,DE,Elbur Vertriebs GmbH
ALQ,IT,Air Liquide Medical Systems S.r.l.
GIB,FR,GIBAUD S.A.S.U
WLL,CN,"Well Lead Medical Co., Ltd."
TRD,DE,TRB CHEMEDICA AG
ECO,IT,EUROCOMFORT MED S.R.L.
BFA,NL,Bfactory Health Products B.V.
921,ES,"PRIM, S.A."
SYS,FR,System Assistance Medical SAS
AXM,DE,AXIOM Gesellschaft für Diagnostica und Biochemica mbH
909,IT,K Design s.r. l
TRU,CA,Trudell Medical International
S-A,DE,Sanofi-Aventis Deutschland GmbH
SGN,IT,Signorini Medicale S.r.l.
HLN,CH,Helsinn Healthcare SA
A78,IT,ORTHOSANIT DIFFUSION S.R.L.
A82,DE,LIGAMED medical Produkte GmbH
RSE,PL,Rehasense Sp. Z o.o.
PMO,SE,Permobil Ab
A18,CN,"Huizhou Foryou Medical Devices Co.,Ltd."
A83,CN,"Zhende Medical Co.,Ltd."
A42,IT,PAVIS SpA
A58,NZ,ManukaMed Limited Partnership
A68,DE,Acto GmbH
A73,GR,MOBIAK S.A.
HON,CN,"HONSUN (NANTONG) CO., LTD."
A77,CZ,SITIN LAB s.r.o.
A65,GB,Frontier Therapeutics Limited
A55,BE,Glomarket BV (Ribcap)
A86,IT,INNATE s.r.l.
A44,BE,Ontex BV
A93,IT,Pavia Farmaceutici s.r.l.
A87,IT,THE WAVE Innovation Group Srls
B01,NL,Medeco B.V.
A80,CZ,JOHNNY & GEORGE s.r.o.
B04,CN,"Foshan Huacantong Medical Equipment Co., ltd"
B07,IL,Sion Biotext Medical Ltd.
971,PL,"MyWAM Kupiec,Bartold spolka Jawna"
B08,HU,Rehab Zrt
980,DE,diawin Deutschland GmbH
A79,CN,"ZHEJIANG LONGTERM MEDICAL TECHNOLOGY CO., LTD."
A24,KR,Seoil Pacific Corporation
B12,IE,LM GLOBAL DESIGN LIMITED
A74,IT,Welcare Research S.r.l.
211,GB,Coil
A12,AT,P.G.F. INDUSTRY SOLUTIONS GmbH
A25,CN,"Fujian Putian Licheng Paper Industry Co., Ltd."
983,AU,Magic Mobility
MBP,DE,curea medical GmbH
A02,KR,"LG Chem, Ltd."
A13,TR,PREDO SAGLIK URUNLERI SANAYI VE TICARET LTD. A.S.
A31,DE,NAWA Heilmittel GmbH
A28,GB,CLEMENT CLARKE INTERNATIONAL LIMITED
A30,CZ,"ERGOTEP, družstvo"
OXM,DE,Oxmed International GmbH
A20,IT,VASSILLI s.r.l.
TAL,GB,Talley Group Ltd
A26,DE,Werkmeister GmbH + Co. KG
A16,CZ,"Novamed Health Services, s.r.o."
LAI,TW,"Ta Lai Sporting Goods Entrerprises Co., Ltd."
PXH,GB,Protex Healthcare Ltd
951,BE,Plastiflex Healthcare
BIV,US,Bioventus LLC
SEF,FR,SEFAM
961,CZ,OMAT CZ s.r.o.
MRW,CZ,Marwell Medic s.r.o.
947,TW,"Hsiner Co., Ltd."
922,US,Townsend Design
CNC,DK,Continence Care Aps
IF1,KR,"OSANG Healthcare Co., Ltd (došlo k přejmenování výrobce)"
RIC,IT,RICANT S.r.l.
NEH,CZ,Josef Nehonský
945,DE,3M Deutschland GmbH
OAS,TR,Oasis Medikal Ürünler Kimya Turizm San. ve Tic. A.Ş.
129,CZ,"SPEKTRA, výrobní družstvo nevidomých"
AUY,CZ,AUDY s.r.o.
EHA,DE,Eureha GmbH Rehabilitationstechnik
ZLI,CZ,"BAŤA, akciová společnost"
JCM,GB,JCM SEATING LTD.
RPL,PL,REHA-POL-A SP. Z O.O
DMA,DE,DAYS HEALTHCARE GMBH & CO.KG
DUP,FR,DUPONT MEDICAL
DEL,CZ,DELFI
HAC,DE,HANDICARE GMBH
SHT,ES,SHORTES
NPP,FR,MALLINCKRODT DÉVELOPPEMENT FRANCE
VAS,IT,VASSILLI S.R.L.
HER,CZ,HEROS-DUŠAN VINKLAR
OCR,IT,"OFF CARR S.R.L.VILLA DEL CONTE,PADOVA,ITALIE"
MOH,PL,MDH SP. Z O.O.
MIS,ES,MINOS 97
B80,GB,Rhodes Health Limited
B81,DE,Florett GmbH
WEI,DE,WEINMANN GERATE FUR MEDIZIN GMBH+CO.KG
FOT,ES,Forta Fabricaciones ortopédicas Albacete. S.L.
HRW,TW,HEARTWAY MEDICAL PRODUCTS CO.LTD.
ILS,US,INOVALABS
FSD,CN,FOSHAN DONG FANG
PEL,FR,PERMOBIL LIFESTAND
BRE,SE,BREAS MEDICAL AB
B31,GB,Speciality Fibres and Materials Limited
JEN,GB,JENX LIMITED
B86,DE,Resorba Medical GmbH
PUR,IE,PURITAN-BENNETT
PEN,DE,PETER ENDRES GMBH & CO.KG
AQJ,GB,AQUAJOY BATHLIFTS LTD.
B20,CZ,FAGRON a.s.
HOF,AT,HOFER GMBH
,CN,"GuangDong TiDaKang Medical Technology Co., Ltd."
GUA,CN,GUANGDONG KAIYANG MEDICAL TECHNOLOGY GROUP CO.LTD.
NID,US,NIDEK MEDICAL
UNI,CZ,UNI PLUS
DRI,DE,DRIVE MEDICAL GMBH & CO
AQT,AT,AQUATEC
B82,AU,Concourse Assistive Technology Pty Ltd
B83,NZ,Spex Ltd.
BDE,GB,BD ELECTROMEDICAL
B87,IN,AXIO BIOSOLUTIONS PRIVATE LIMITED
B21,DK,SBO Hearing A/S
A89,PT,Bastos Viegas S.A.
B88,FR,B. Braun Medical SAS
B35,KR,"T&L Co., Ltd."
B61,IT,B. Braun Avitum Italy S.p.A.
B28,CN,"SEJOY Biomedical Co.,Ltd"
B37,BE,Protex Healthcare NV
B13,IT,Erbagil s.r.l.
B41,TR,Yasemin Medikal Malzemeleri Ticaret Sanayi A. Ş.
B29,IT,Plastod S.p.A
B19,US,Ki Mobility LLC
B23,DE,Reganemed GmbH
B42,IL,Medcu Technologies Ltd
B45,DE,Munevo GmbH
