ObdobÌ;Typ hl·öenÌ;ATC7;KÛd S⁄KL;N·zev p¯Ìpravku;DoplnÏk n·zvu;Drûitel registraËnÌho rozhodnutÌ;ZemÏ;Typ pohybu;PoËet balenÌ;PoËet definovan˝ch dennÌch d·vek/balenÌ;Zp˘sob v˝deje;Hrazeno
2020.05;Distributor;A06AB08;223136;GUTTALAX;7,5MG/ML POR GTT SOL 1X15ML;SFK;CZ;D;94076;22,5;F;Ne
2020.05;Distributor;A06AB08;15413;LAXYGAL;7,5MG/ML POR GTT SOL 1X25ML;TCO;CZ;D;37523;15;F;Ne
2020.05;Distributor;A06AB58;207229;CITRAFLEET;10MG/3,5G/10,97G POR PLV SOL SCC 2;CAS;E;D;4317;1;R;Ano
2020.05;Distributor;A06AD11;17190;LACTULOSA BIOMEDICA;667MG/ML SIR 250ML;BCS;CZ;D;967;24,888;F;Ne
2020.05;Distributor;A06AD11;17191;LACTULOSA BIOMEDICA;667MG/ML SIR 500ML;BCS;CZ;D;4768;37,3134;F;Ne
2020.05;Distributor;A06AD11;42547;LACTULOSE AL;667MG/ML SIR 1X500ML;AYL;D;D;31680;49,8507;F;Ne
2020.05;Distributor;A06AD15;242669;FORLAX;10G POR PLV SOL SCC 20;IHC;F;D;6510;20;F;Ne
2020.05;Distributor;A06AD15;184039;FORLAX;4G POR PLV SOL SCC 20;IHC;F;D;1944;8;R;Ne
2020.05;Distributor;A06AD15;242665;FORLAX;4G POR PLV SOL SCC 20;IHC;F;D;5832;8;R;Ne
2020.05;OOV;A06AH03;223014;MOVENTIG;25MG TBL FLM 30X1;KKH;NL;D;2143;30;R;Ano
2020.05;Distributor;A07BA01;982;CARBOSORB;25G POR PLV 25G;ISS;SK;D;265;5;F;Ne
2020.05;Distributor;A07BA01;31951;CARBOSORB;320MG TBL NOB 20;ISS;SK;D;2835;1,28;F;Ne
2020.05;Distributor;A07BA51;31950;CARBOCIT;320MG/25MG/3MG TBL NOB 20;ISS;SK;D;322;;F;Ne
2020.05;Distributor;A07BA51;31963;CARBOTOX;320MG/25MG TBL NOB 20;ISS;SK;D;9;;F;Ne
2020.05;Distributor;A07DA03;233899;IMODIUM;2MG CPS DUR 20;MCN;IRL;D;69336;4;F;Ne
2020.05;Distributor;A07DA03;10151;LOPERON;2MG CPS DUR 10 I;HHO;D;D;9847;2;F;Ne
2020.05;Distributor;A07DA03;192853;LOPERON;2MG CPS DUR 20 I;HHO;D;D;49670;4;F;Ne
2020.05;Distributor;A07EA06;158943;BUDENOFALK UNO;9MG GRA ENT 30;FAK;D;D;3004;30;R;Ano
2020.05;Distributor;A07EA06;208797;ENTOCORT;3MG CPS RDR 100;TLP;D;D;1000;33,3333;R;Ano
2020.05;Distributor;A07EC02;203803;ASACOL ENEMA;4G RCT SUS 7X100ML+7APL;TLP;D;D;2082;18,6667;R;Ano
2020.05;Distributor;A07EC02;119539;PENTASA SACHET;2G GRA PRO 60;FRL;CZ;D;6175;80;R;Ano
2020.05;Distributor;A07EC02;86616;PENTASA SLOW RELEASE TABLETS 500 MG;500MG TBL PRO 100;FRL;CZ;D;7289;33,3333;R;Ano
2020.05;Distributor;A07EC02;195901;SALOFALK;1500MG GRA ENP 60;FAK;D;D;2803;60;R;Ano
2020.05;Distributor;A07EC02;75567;SALOFALK;500MG TBL ENT 100;FAK;D;D;25725;33,3333;R;Ano
2020.05;Distributor;A07FA;107585;MUTAFLOR;2,5-25X10^9CFU CPS ETD 100;ARP;D;D;1650;;R;Ano
2020.05;Distributor;A07FA;107584;MUTAFLOR;2,5-25X10^9CFU CPS ETD 20;ARP;D;D;1200;;R;Ano
2020.05;Distributor;A07FA02;10502;ENTEROL;250MG CPS DUR 10;BGX;F;V;-1;2,5;F;Ne
2020.05;Distributor;A08AB01;160488;ORLISTAT TEVA;60MG CPS DUR 84 I;TPP;CZ;D;4600;14;F;Ne
2020.05;Distributor;A08AB01;27027;XENICAL;120MG CPS DUR 84;CHA;D;D;229;28;R;Ne
2020.05;Distributor;A09AA02;230612;KREON 10 000;10000U CPS ETD 20;MYL;IRL;D;6063;;F;Ne
2020.05;Distributor;A09AA02;230614;KREON 25 000;25000U CPS ETD 50;MYL;IRL;D;23494;;F;Ano
2020.05;Distributor;A09AA02;230359;PANCREOLAN FORTE;6000U TBL ENT 60;SFK;CZ;D;14720;;F;Ne
2020.05;Distributor;A09AA02;187407;PANGROL;20000IU TBL ENT 20 II;BBE;D;D;25872;;F;Ne
2020.05;Distributor;A09AA02;187406;PANGROL;20000IU TBL ENT 50 II;BBE;D;D;45880;;F;Ano
2020.05;Distributor;A09AA02;54534;PANZYTRAT 25 000;25000U CPS ETD 50 II;ALB;IRL;D;5500;;F;Ano
2020.05;Distributor;A10AB01;26486;ACTRAPID PENFILL;100IU/ML INJ SOL 5X3ML;NOO;DK;D;11561;37,5;R;Ano
2020.05;Distributor;A10AB01;500827;INSUMAN RAPID SOLOSTAR;100IU/ML INJ SOL 5X3ML;SDN;D;D;2960;37,5;R;Ano
2020.05;Distributor;A10AB04;210178;HUMALOG KWIKPEN;200U/ML INJ SOL 5X3ML;LIY;NL;D;22464;37,5;R;Ano
2020.05;Distributor;A10AB05;219219;FIASP;100U/ML INJ SOL 1X10ML;NOO;DK;D;2983;25;R;Ano
2020.05;Distributor;A10AB05;219217;FIASP;100U/ML INJ SOL 5X3ML PEP;NOO;DK;D;12973;37,5;R;Ano
