ATC;NT;NAZEV;NAZEV_EN
C10AD03;N;NIKOFURANOSA;NICOFURANOSE
C10AD04;N;ALUMINIUM-NIKOTIN¡T;ALUMINIUM NICOTINATE
C10AD05;N;NIKOTINYLALKOHOL (PYRIDINMETHANOL);NICOTINYL ALCOHOL (PYRIDYLCARBINOL)
C10AD06;N;ACIPIMOX;ACIPIMOX
C10AD52;N;KYSELINA NIKOTINOV¡, KOMBINACE;NICOTINIC ACID, COMBINATIONS
C10AX;N;JIN… L¡TKY UPRAVUJÕCÕ HLADINU LIPIDŸ;OTHER LIPID MODIFYING AGENTS
C10AX01;N;DEXTROTHYROXIN;DEXTROTHYROXINE
C10AX02;N;PROBUKOL;PROBUCOL
C10AX03;N;TIADENOL;TIADENOL
C10AX05;N;MEGLUTOL;MEGLUTOL
C10AX06;N;OMEGA-3-TRIGLYCERIDY V»ETNÃ JIN›CH ESTERŸ A KYSELIN;OMEGA-3-TRIGLYCERIDES INCL. OTHER ESTERS AND ACIDS
C10AX07;N;MAGNESIUM-PYRIDOXALFOSF¡T-GLUTAM¡T;MAGNESIUM PYRIDOXAL 5-PHOSPHATE GLUTAMATE
C10AX08;N;POLIKOSANOL;POLICOSANOL
C10AX09;N;EZETIMIB;EZETIMIBE
C10AX10;N;ALIPOGEN TIPARVOVEK;ALIPOGENE TIPARVOVEC
C10AX11;N;MIPOMERSEN;MIPOMERSEN
C10AX12;N;LOMITAPID;LOMITAPIDE
C10AX13;N;EVOLOKUMAB;EVOLOCUMAB
C10AX14;N;ALIROKUMAB;ALIROCUMAB
C10AX15;N;KYSELINA BEMPEDOOV¡;BEMPEDOIC ACID
C10AX16;N;INKLISIRAN;INCLISIRAN
C10AX17;N;EVINAKUMAB;EVINACUMAB
C10AX18;N;VOLANESORSEN;VOLANESORSEN
C10AX19;N;LERODALCIBEP;LERODALCIBEP
C10B;N;L¡TKY UPRAVUJÕCÕ HLADINU LIPIDŸ, KOMBINACE;LIPID MODIFYING AGENTS, COMBINATIONS
C10BA;N;KOMBINACE RŸZN›CH L¡TEK UPRAVUJÕCÕCH HLADINU LIPIDŸ;COMBINATIONS OF VARIOUS LIPID MODIFYING AGENTS
C10BA01;N;LOVASTATIN A KYSELINA NIKOTINOV¡;LOVASTATIN AND NICOTINIC ACID
C10BA02;N;SIMVASTATIN A EZETIMIB;SIMVASTATIN AND EZETIMIBE
C10BA03;N;PRAVASTATIN A FENOFIBR¡T;PRAVASTATIN AND FENOFIBRATE
C10BA04;N;SIMVASTATIN A FENOFIBR¡T;SIMVASTATIN AND FENOFIBRATE
C10BA05;N;ATORVASTATIN A EZETIMIB;ATORVASTATIN AND EZETIMIBE
C10BA06;N;ROSUVASTATIN A EZETIMIB;ROSUVASTATIN AND EZETIMIBE
C10BA07;N;ROSUVASTATIN A OMEGA-3-KYSELINY;ROSUVASTATIN AND OMEGA-3 FATTY ACIDS
C10BA08;N;ATORVASTATIN A OMEGA-3-KYSELINY;ATORVASTATIN AND OMEGA-3 FATTY ACIDS
C10BA09;N;ROSUVASTATIN A FENOFIBR¡T;ROSUVASTATIN AND FENOFIBRATE
C10BA10;N;KYSELINA BEMPEDOOV¡ A EZETIMIB;BEMPEDOIC ACID AND EZETIMIBE
C10BA11;N;PRAVASTATIN A EZETIMIB;PRAVASTATIN AND EZETIMIBE
C10BA12;N;PRAVASTATIN, EZETIMIB A FENOFIBR¡T;PRAVASTATIN, EZETIMIBE AND FENOFIBRATE
C10BA13;N;PITAVASTATIN A EZETIMIB;PITAVASTATIN AND EZETIMIBE
C10BA14;N;PITAVASTATIN A FENOFIBR¡T;PITAVASTATIN AND FENOFIBRATE
C10BA15;N;ROSUVASTATIN, EZETIMIB A FENOFIBR¡T;ROSUVASTATIN, EZETIMIBE AND FENOFIBRATE
C10BA16;N;ATORVASTATIN A FENOFIBR¡T;ATORVASTATIN AND FENOFIBRATE
C10BX;N;L¡TKY UPRAVUJÕCÕ HLADINU LIPIDŸ, KOMBINACE S JIN›MI L…»IVY;LIPID MODIFYING AGENTS IN COMBINATION WITH OTHER DRUGS
C10BX01;N;SIMVASTATIN A KYSELINA ACETYLSALICYLOV¡;SIMVASTATIN AND ACETYLSALICYLIC ACID
C10BX02;N;PRAVASTATIN A KYSELINA ACETYLSALICYLOV¡;PRAVASTATIN AND ACETYLSALICYLIC ACID
C10BX03;N;ATORVASTATIN A AMLODIPIN;ATORVASTATIN AND AMLODIPINE
C10BX04;N;SIMVASTATIN, KYSELINA ACETYLSALICYLOV¡ A RAMIPRIL;SIMVASTATIN, ACETYLSALICYLIC ACID AND RAMIPRIL
C10BX05;N;ROSUVASTATIN A KYSELINA ACETYLSALICYLOV¡;ROSUVASTATIN AND ACETYLSALICYLIC ACID
C10BX06;N;ATORVASTATIN, KYSELINA ACETYLSALICYLOV¡ A RAMIPRIL;ATORVASTATIN, ACETYLSALICYLIC ACID AND RAMIPRIL
C10BX07;N;ROSUVASTATIN, AMLODIPIN A LISINOPRIL;ROSUVASTATIN, AMLODIPINE AND LISINOPRIL
C10BX08;N;ATORVASTATIN A KYSELINA ACETYLSALICYLOV¡;ATORVASTATIN AND ACETYLSALICYLIC ACID
C10BX09;N;ROSUVASTATIN A AMLODIPIN;ROSUVASTATIN AND AMLODIPINE
C10BX10;N;ROSUVASTATIN A VALSARTAN;ROSUVASTATIN AND VALSARTAN
C10BX11;N;ATORVASTATIN, AMLODIPIN A PERINDOPRIL;ATORVASTATIN, AMLODIPINE AND PERINDOPRIL
C10BX12;N;ATORVASTATIN, KYSELINA ACETYLSALICYLOV¡ A PERINDOPRIL;ATORVASTATIN, ACETYLSALICYLIC ACID AND PERINDOPRIL
C10BX13;N;ROSUVASTATIN, PERINDOPRIL A INDAPAMID;ROSUVASTATIN, PERINDOPRIL AND INDAPAMIDE
C10BX14;N;ROSUVASTATIN, AMLODIPIN A PERINDOPRIL;ROSUVASTATIN, AMLODIPINE AND PERINDOPRIL
C10BX15;N;ATORVASTATIN A PERINDOPRIL;ATORVASTATIN AND PERINDOPRIL
C10BX16;N;ROSUVASTATIN A FIMASARTAN;ROSUVASTATIN AND FIMASARTAN
C10BX17;N;ROSUVASTATIN A RAMIPRIL;ROSUVASTATIN AND RAMIPRIL
C10BX18;N;ATORVASTATIN, AMLODIPIN A RAMIPRIL;ATORVASTATIN, AMLODIPINE AND RAMIPRIL
C10BX19;N;ATORVASTATIN, AMLODIPIN A KANDESARTAN;ATORVASTATIN, AMLODIPINE AND CANDESARTAN
C10BX20;N;ROSUVASTATIN A TELMISARTAN;ROSUVASTATIN AND TELMISARTAN
C10BX21;N;ROSUVASTATIN A PERINDOPRIL;ROSUVASTATIN AND PERINDOPRIL
C10BX22;N;ROSUVASTATIN A NEBIVOLOL;ROSUVASTATIN AND NEBIVOLOL
C10BX23;N;ROSUVASTATIN, AMLODIPIN A RAMIPRIL;ROSUVASTATIN, AMLODIPINE AND RAMIPRIL
C10BX24;N;ROSUVASTATIN, AMLODIPIN A TELMISARTAN;ROSUVASTATIN, AMLODIPINE AND TELMISARTAN
D;N;DERMATOLOGIKA;DERMATOLOGICALS
D01;N;ANTIMYKOTIKA PRO POUéITÕ V DERMATOLOGII;ANTIFUNGALS FOR DERMATOLOGICAL USE
D01A;N;ANTIMYKOTIKA PRO LOK¡LNÕ APLIKACI;ANTIFUNGALS FOR TOPICAL USE
D01AA;N;ANTIBIOTIKA;ANTIBIOTICS
D01AA01;N;NYSTATIN;NYSTATIN
D01AA02;N;NATAMYCIN;NATAMYCIN
D01AA03;N;HACHIMYCIN;HACHIMYCIN
D01AA04;N;PECILOCIN;PECILOCIN
D01AA06;N;MEPARTRICIN;MEPARTRICIN
D01AA07;N;PYRROLNITRIN;PYRROLNITRIN
D01AA08;N;GRISEOFULVIN;GRISEOFULVIN
D01AA20;N;ANTIBIOTIKA V KOMBINACI S KORTIKOSTEORIDY;ANTIBIOTICS IN COMBINATION WITH CORTICOSTEROIDS
D01AC;N;IMIDAZOLOV… A TRIAZOLOV… DERIV¡TY;IMIDAZOLE AND TRIAZOLE DERIVATIVES
D01AC01;N;KLOTRIMAZOL;CLOTRIMAZOLE
D01AC02;N;MIKONAZOL;MICONAZOLE
D01AC03;N;EKONAZOL;ECONAZOLE
D01AC04;N;CHLORMIDAZOL;CHLORMIDAZOLE
D01AC05;N;ISOKONAZOL;ISOCONAZOLE
D01AC06;N;TIABENDAZOL;TIABENDAZOLE
D01AC07;N;TIOKONAZOL;TIOCONAZOLE
D01AC08;N;KETOKONAZOL;KETOCONAZOLE
D01AC09;N;SULKONAZOL;SULCONAZOLE
D01AC10;N;BIFONAZOL;BIFONAZOLE
D01AC11;N;OXIKONAZOL;OXICONAZOLE
D01AC12;N;FENTIKONAZOL;FENTICONAZOLE
D01AC13;N;OMOKONAZOL;OMOCONAZOLE
D01AC14;N;SERTAKONAZOL;SERTACONAZOLE
D01AC15;N;FLUKONAZOL;FLUCONAZOLE
D01AC16;N;FLUTRIMAZOL;FLUTRIMAZOLE
D01AC17;N;EBERKONAZOL;EBERCONAZOLE
D01AC18;N;LULIKONAZOL;LULICONAZOLE
D01AC19;N;EFINAKONAZOL;EFINACONAZOLE
D01AC20;N;IMIDAZOLOV…/TRIAZOLOV… DERIV¡TY V KOMBINACI S KORTIKOSTEROIDY;IMIDAZOLES/TRIAZOLES IN COMBINATION WITH CORTICOSTEROIDS
D01AC21;N;NETIKONAZOL;NETICONAZOLE
D01AC22;N;LANOKONAZOL;LANOCONAZOLE
D01AC52;N;MIKONAZOL, KOMBINACE;MICONAZOLE, COMBINATIONS
D01AC60;N;BIFONAZOL, KOMBINACE;BIFONAZOLE, COMBINATIONS
D01AE;N;JIN¡ ANTIMYKOTIKA PRO LOK¡LNÕ APLIKACI;OTHER ANTIFUNGALS FOR TOPICAL USE
D01AE01;N;KLOBROMSALAN;BROMOCHLOROSALICYLANILIDE
D01AE02;N;METHYLROSANILINIUM;METHYLROSANILINE
D01AE03;N;TRIBROMMETAKRESOL;TRIBROMOMETACRESOL
D01AE04;N;KYSELINA UNDECYLENOV¡;UNDECYLENIC ACID
D01AE05;N;POLYNOXYLIN;POLYNOXYLIN
D01AE06;N;2-(4-CHLORFENOXY)ETHANOL;2-(4-CHLORPHENOXY)-ETHANOL
D01AE07;N;CHLORFENESIN;CHLORPHENESIN
D01AE08;N;TIKLATON;TICLATONE
D01AE09;N;SULBENTIN;SULBENTINE
D01AE10;N;ETHYLPARABEN;ETHYL HYDROXYBENZOATE
D01AE11;N;HALOPROGIN;HALOPROGIN
D01AE12;N;KYSELINA SALICYLOV¡;SALICYLIC ACID
D01AE13;N;SULFID SELENI»IT›;SELENIUM SULFIDE
D01AE14;N;CIKLOPIROX;CICLOPIROX
D01AE15;N;TERBINAFIN;TERBINAFINE
D01AE16;N;AMOROLFIN;AMOROLFINE
D01AE17;N;DIMAZOL;DIMAZOLE
D01AE18;N;TOLNAFT¡T;TOLNAFTATE
D01AE19;N;TOLCIKL¡T;TOLCICLATE
D01AE20;N;JIN¡ ANTIMYKOTIKA PRO LOK¡LNÕ APLIKACI, KOMBINACE;COMBINATIONS
D01AE21;N;FLUCYTOSIN;FLUCYTOSINE
D01AE22;N;NAFTIFIN;NAFTIFINE
D01AE23;N;BUTENAFIN;BUTENAFINE
D01AE24;N;TAVABOROL;TAVABOROLE
D01AE25;N;LIRANAFT¡T;LIRANAFTATE
D01AE54;N;KYSELINA UNDECYLENOV¡, KOMBINACE;UNDECYLENIC ACID, COMBINATIONS
D01B;N;ANTIMYKOTIKA PRO SYST…MOVOU APLIKACI;ANTIFUNGALS FOR SYSTEMIC USE
D01BA;N;ANTIMYKOTIKA PRO SYST…MOVOU APLIKACI;ANTIFUNGALS FOR SYSTEMIC USE
D01BA01;N;GRISEOFULVIN;GRISEOFULVIN
D01BA02;N;TERBINAFIN;TERBINAFINE
D01BA03;N;FOSRAVUKONAZOL;FOSRAVUCONAZOLE
D02;N;EMOLIENCIA A PROTEKTIVA;EMOLLIENTS AND PROTECTIVES
D02A;N;EMOLIENCIA A PROTEKTIVA;EMOLLIENTS AND PROTECTIVES
D02AA;N;PÿÕPRAVKY OBSAHUJÕCÕ SILIKONY;SILICONE PRODUCTS
D02AB;N;PÿÕPRAVKY OBSAHUJÕCÕ ZINEK;ZINC PRODUCTS
D02AC;N;MÃKK› PARAFIN A TUKOV… PRODUKTY;SOFT PARAFFIN AND FAT PRODUCTS
D02AD;N;TEKUT… N¡PLASTI;LIQUID PLASTERS
D02AE;N;PÿÕPRAVKY OBSAHUJÕCÕ MO»OVINU;CARBAMIDE PRODUCTS
D02AE01;N;MO»OVINA;CARBAMIDE
D02AE51;N;MO»OVINA, KOMBINACE;CARBAMIDE, COMBINATIONS
D02AF;N;PÿÕPRAVKY OBSAHUJÕCÕ KYSELINU SALICYLOVOU;SALICYLIC ACID PREPARATIONS
D02AX;N;JIN¡ EMOLIENCIA A PROTEKTIVA;OTHER EMOLLIENTS AND PROTECTIVES
D02B;N;PROTEKTIVA PROTI UV Z¡ÿENÕ;PROTECTIVES AGAINST UV-RADIATION
D02BA;N;PROTEKTIVA PROTI UV Z¡ÿENÕ PRO LOK¡LNÕ APLIKACI;PROTECTIVES AGAINST UV-RADIATION FOR TOPICAL USE
D02BA01;N;KYSELINA AMINOBENZOOV¡;AMINOBENZOIC ACID
D02BA02;N;OKTINOX¡T;OCTINOXATE
D02BB;N;PROTEKTIVA PROTI UV Z¡ÿENÕ PRO SYST…MOVOU APLIKACI;PROTECTIVES AGAINST UV-RADIATION FOR SYSTEMIC USE
D02BB01;N;BETAKAROTEN;BETACAROTENE
D02BB02;N;AFAMELANOTID;AFAMELANOTIDE
D03;N;PÿÕPRAVKY PRO L…»BU RAN A VÿEDŸ;PREPARATIONS FOR TREATMENT OF WOUNDS AND ULCERS
D03A;N;L…»IVA PODPORUJÕ TVORBU JIZEV;CICATRIZANTS
D03AA;N;MASTI S RYBÕM OLEJEM;COD-LIVER OIL OINTMENTS
D03AX;N;JIN¡ L…»IVA PODPORUJÕCÕ TVORBU JIZEV;OTHER CICATRIZANTS
D03AX01;N;JOD-KADEXOMER;CADEXOMER IODINE
D03AX02;N;DEXTRANOMER;DEXTRANOMER
D03AX03;N;DEXPANTHENOL;DEXPANTHENOL
D03AX04;N;KALCIUM-PANTOTHEN¡T;CALCIUM PANTOTHENATE
D03AX05;N;KYSELINA HYALURONOV¡;HYALURONIC ACID
D03AX06;N;BEKAPLERMIN;BECAPLERMIN
D03AX09;N;KRILANOMER;CRILANOMER
D03AX10;N;ENOXOLON;ENOXOLONE
D03AX11;N;CHLORITAN SODN›;SODIUM CHLORITE
D03AX12;N;TROLAMIN;TROLAMINE
D03AX13;N;BÿEZOV¡ KŸRA;BETULAE CORTEX
D03AX14;N;NAç CENTELY ASIJSK…, V»ETNÃ KOMBINACÕ;CENTELLA ASIATICA HERBA, INCL. COMBINATIONS
D03AX15;N;TRAFERMIN;TRAFERMIN
D03AX16;N;BEREMAGEN GEPERPAVEK;BEREMAGENE GEPERPAVEC
D03AX17;N;KYSELINA DIPEROXOCHLOROV¡;DIPEROXOCHLORIC ACID
D03B;N;ENZYMY;ENZYMES
D03BA;N;PROTEOLYTICK… ENZYMY;PROTEOLYTIC ENZYMES
D03BA01;N;TRYPSIN;TRYPSIN
D03BA02;N;KOLAGENASA;COLLAGENASE
D03BA03;N;BROMELAINY;BROMELAINS
D03BA52;N;KOLAGENASA, KOMBINACE;COLLAGENASE, COMBINATIONS
D04;N;ANTIPRURIGIN”ZA, V»ETNÃ ANTIHISTAMINIK, ANESTETIK, ATD.;ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.
D04A;N;ANTIPRURIGIN”ZA, V»ETNÃ ANTIHISTAMINIK, ANESTETIK, ATD.;ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.
D04AA;N;ANTIHISTAMINIKA PRO LOK¡LNÕ APLIKACI;ANTIHISTAMINES FOR TOPICAL USE
D04AA01;N;THONZYLAMIN;THONZYLAMINE
D04AA02;N;MEPYRAMIN;MEPYRAMINE
D04AA03;N;THENALIDIN;THENALIDINE
D04AA04;N;TRIPELENAMIN;TRIPELENNAMINE
D04AA09;N;CHLORPYRAMIN;CHLOROPYRAMINE
D04AA10;N;PROMETHAZIN;PROMETHAZINE
D04AA12;N;TOLPROPAMIN;TOLPROPAMINE
D04AA13;N;DIMETINDEN;DIMETINDENE
D04AA14;N;KLEMASTIN;CLEMASTINE
D04AA15;N;BAMIPIN;BAMIPINE
D04AA16;N;FENIRAMIN;PHENIRAMINE
D04AA22;N;ISOTHIPENDYL;ISOTHIPENDYL
D04AA32;N;DIFENHYDRAMIN;DIPHENHYDRAMINE
D04AA33;N;MEFENIDRAMIUM-BROMID;DIPHENHYDRAMINE METHYLBROMIDE
D04AA34;N;CHLORFENOXAMIN;CHLORPHENOXAMINE
D04AB;N;ANESTETIKA PRO LOK¡LNÕ APLIKACI;ANESTHETICS FOR TOPICAL USE
D04AB01;N;LIDOKAIN;LIDOCAINE
D04AB02;N;CINCHOKAIN;CINCHOCAINE
D04AB03;N;OXYBUPROKAIN;OXYBUPROCAINE
D04AB04;N;BENZOKAIN;BENZOCAINE
D04AB05;N;CHINISOKAIN;QUINISOCAINE
D04AB06;N;TETRAKAIN;TETRACAINE
D04AB07;N;PRAMOKAIN;PRAMOCAINE
D04AX;N;JIN¡ ANTIPRURIGIN”ZA;OTHER ANTIPRURITICS
D04AX01;N;DOXEPIN;DOXEPIN
D05;N;ANTIPSORIATIKA;ANTIPSORIATICS
D05A;N;ANTIPSORIATIKA PRO LOK¡LNÕ APLIKACI;ANTIPSORIATICS FOR TOPICAL USE
D05AA;N;DEHTY;TARS
D05AC;N;DERIV¡TY ANTRACENU;ANTRACEN DERIVATIVES
D05AC01;N;DITHRANOL;DITHRANOL
D05AC51;N;DITHRANOL, KOMBINACE;DITHRANOL, COMBINATIONS
D05AD;N;PSORALENY PRO LOK¡LNÕ APLIKACI;PSORALENS FOR TOPICAL USE
D05AD01;N;TRIOXYSALEN;TRIOXYSALEN
D05AD02;N;METHOXSALEN;METHOXSALEN
D05AX;N;JIN¡ ANTIPSORIATIKA PRO LOK¡LNÕ APLIKACI;OTHER ANTIPSORIATICS FOR TOPICAL USE
D05AX01;N;KYSELINA FUMAROV¡;FUMARIC ACID
D05AX02;N;KALCIPOTRIOL;CALCIPOTRIOL
D05AX03;N;KALCITRIOL;CALCITRIOL
D05AX04;N;TAKALCITOL;TACALCITOL
D05AX05;N;TAZAROTEN;TAZAROTENE
D05AX06;N;ROFLUMILAST;ROFLUMILAST
D05AX07;N;TAPINAROF;TAPINAROF
D05AX52;N;KALCIPOTRIOL, KOMBINACE;CALCIPOTRIOL, COMBINATIONS
D05AX55;N;TAZAROTEN A ULOBETASOL;TAZAROTENE AND ULOBETASOL
D05B;N;ANTIPSORIATIKA PRO SYST…MOVOU APLIKACI;ANTIPSORIATICS FOR SYSTEMIC USE
D05BA;N;PSORALENY PRO SYST…MOVOU APLIKACI;PSORALENS FOR SYSTEMIC USE
D05BA01;N;TRIOXYSALEN;TRIOXYSALEN
D05BA02;N;METHOXSALEN;METHOXSALEN
D05BA03;N;BERGAPTEN;BERGAPTEN
D05BB;N;RETINOIDY PRO L…»BU PSORI¡ZY;RETINOIDS FOR TREATMENT OF PSORIASIS
D05BB01;N;ETRETIN¡T;ETRETINATE
D05BB02;N;ACITRETIN;ACITRETIN
D05BX;N;JIN¡ ANTIPSORIATIKA PRO SYST…MOVOU APLIKACI;OTHER ANTIPSORIATICS FOR SYSTEMIC USE
D05BX51;N;DERIV¡TY KYSELINY FUMAROV…, KOMBINACE;FUMARIC ACID DERIVATIVES, COMBINATIONS
D06;N;ANTIBIOTIKA A CHEMOTERAPEUTIKA PRO POUéITÕ V DERMATOLOGII;ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE
D06A;N;ANTIBIOTIKA PRO LOK¡LNÕ APLIKACI;ANTIBIOTICS FOR TOPICAL USE
D06AA;N;TETRACYKLIN A DERIV¡TY;TETRACYCLINE AND DERIVATIVES
D06AA01;N;DEMEKLOCYKLIN;DEMECLOCYCLINE
D06AA02;N;CHLORTETRACYKLIN;CHLORTETRACYCLINE
D06AA03;N;OXYTETRACYKLIN;OXYTETRACYCLINE
D06AA04;N;TETRACYKLIN;TETRACYCLINE
D06AX;N;JIN¡ ANTIBIOTIKA PRO LOK¡LNÕ APLIKACI;OTHER ANTIBIOTICS FOR TOPICAL USE
D06AX01;N;KYSELINA FUSIDOV¡;FUSIDIC ACID
D06AX02;N;CHLORAMFENIKOL;CHLORAMPHENICOL
D06AX04;N;NEOMYCIN;NEOMYCIN
D06AX05;N;BACITRACIN;BACITRACIN
D06AX07;N;GENTAMICIN;GENTAMICIN
D06AX08;N;TYROTHRICIN;TYROTHRICIN
D06AX09;N;MUPIROCIN;MUPIROCIN
D06AX10;N;VIRGINIAMYCIN;VIRGINIAMYCIN
D06AX11;N;RIFAXIMIN;RIFAXIMIN
D06AX12;N;AMIKACIN;AMIKACIN
D06AX13;N;RETAPAMULIN;RETAPAMULIN
D06AX14;N;OZENOXACIN;OZENOXACIN
D06AX15;N;RIFAMYCIN;RIFAMYCIN
D06B;N;CHEMOTERAPEUTIKA PRO LOK¡LNÕ APLIKACI;CHEMOTHERAPEUTICS FOR TOPICAL USE
D06BA;N;SULFONAMIDY;SULFONAMIDES
D06BA01;N;STÿÕBRN¡ SŸL SULFADIAZINU;SILVER SULFADIAZINE
D06BA02;N;SULFATHIAZOL;SULFATHIAZOLE
D06BA03;N;MAFENID;MAFENIDE
D06BA04;N;SULFAMETHIZOL;SULFAMETHIZOLE
D06BA05;N;SULFANILAMID;SULFANILAMIDE
D06BA06;N;SULFAMERAZIN;SULFAMERAZINE
D06BA51;N;STÿÕBRN¡ SŸL SULFADIAZINU, KOMBINACE;SILVER SULFADIAZINE, COMBINATIONS
D06BB;N;VIROSTATIKA;ANTIVIRALS
D06BB01;N;IDOXURIDIN;IDOXURIDINE
D06BB02;N;TROMANTADIN;TROMANTADINE
D06BB03;N;ACIKLOVIR;ACICLOVIR
D06BB04;N;PODOFYLOTOXIN;PODOPHYLLOTOXIN
D06BB05;N;INOSIN;INOSINE
D06BB06;N;PENCIKLOVIR;PENCICLOVIR
D06BB07;N;LYSOZYM;LYSOZYME
D06BB08;N;IBACITABIN;IBACITABINE
D06BB09;N;EDOXUDIN;EDOXUDINE
D06BB10;N;IMIKVIMOD;IMIQUIMOD
D06BB11;N;DOKOSANOL;DOCOSANOL
D06BB12;N;SINEKATECHINY;SINECATECHINS
D06BB13;N;SODN¡ SŸL BERDAZIMERU;BERDAZIMER SODIUM
D06BB53;N;ACIKLOVIR, KOMBINACE;ACICLOVIR, COMBINATIONS
D06BX;N;JIN¡ CHEMOTERAPEUTIKA PRO LOK¡LNÕ APLIKACI;OTHER CHEMOTHERAPEUTICS
D06BX01;N;METRONIDAZOL;METRONIDAZOLE
D06BX02;N;INGENOL-MEBUT¡T;INGENOL MEBUTATE
D06BX03;N;TIRBANIBULIN;TIRBANIBULIN
D06C;N;ANTIBIOTIKA A CHEMOTERAPEUTIKA, KOMBINACE;ANTIBIOTICS AND CHEMOTHERAPEUTICS, COMBINATIONS
D07;N;KORTIKOSTEROIDY, DERMATOLOGICK… PÿÕPRAVKY;CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS
D07A;N;KORTIKOSTEROIDY, SAMOTN…;CORTICOSTEROIDS, PLAIN
D07AA;N;KORTIKOSTEROIDY, SLABÃ ⁄»INN… (SKUPINA I);CORTICOSTEROIDS, WEAK (GROUP I)
D07AA01;N;METHYLPREDNISOLON;METHYLPREDNISOLONE
D07AA02;N;HYDROKORTISON;HYDROCORTISONE
D07AA03;N;PREDNISOLON;PREDNISOLONE
D07AB;N;KORTIKOSTEROIDY, STÿEDNÃ ⁄»INN… (SKUPINA II);CORTICOSTEROIDS, MODERATELY POTENT (GROUP II)
D07AB01;N;KLOBETASON;CLOBETASONE
D07AB02;N;HYDROKORTISON-BUTYR¡T;HYDROCORTISONE BUTYRATE
D07AB03;N;FLUMETASON;FLUMETASONE
D07AB04;N;FLUOKORTIN;FLUOCORTIN
D07AB05;N;FLUPEROLON;FLUPEROLONE
D07AB06;N;FLUORMETHOLON;FLUOROMETHOLONE
D07AB07;N;FLUPREDNIDEN;FLUPREDNIDENE
D07AB08;N;DESONID;DESONIDE
D07AB09;N;TRIAMCINOLON;TRIAMCINOLONE
D07AB10;N;ALKLOMETASON;ALCLOMETASONE
D07AB11;N;HYDROKORTISON-BUTEPR¡T;HYDROCORTISONE BUTEPRATE
D07AB19;N;DEXAMETHASON;DEXAMETHASONE
D07AB21;N;KLOKORTOLON;CLOCORTOLONE
D07AB30;N;KOMBINACE KORTIKOSTEROIDŸ;COMBINATIONS OF CORTICOSTEROIDS
D07AC;N;KORTIKOSTEROIDY, SILNÃ ⁄»INN… (SKUPINA III);CORTICOSTEROIDS, POTENT (GROUP III)
D07AC01;N;BETAMETHASON;BETAMETHASONE
D07AC02;N;FLUKLOROLON;FLUCLOROLONE
D07AC03;N;DEOXYMETHASON;DESOXIMETASONE
D07AC04;N;FLUOCINOLON-ACETONID;FLUOCINOLONE ACETONIDE
D07AC05;N;FLUOKORTOLON;FLUOCORTOLONE
D07AC06;N;DIFLUKORTOLON;DIFLUCORTOLONE
D07AC07;N;FLUDROXYKORTID;FLUDROXYCORTIDE
D07AC08;N;FLUOCINONID;FLUOCINONIDE
D07AC09;N;BUDESONID;BUDESONIDE
D07AC10;N;DIFLORASON;DIFLORASONE
D07AC11;N;AMCINONID;AMCINONIDE
D07AC12;N;HALOMETASON;HALOMETASONE
D07AC13;N;MOMETASON;MOMETASONE
D07AC14;N;METHYLPREDNISOLON-ACEPON¡T;METHYLPREDNISOLONE ACEPONATE
D07AC15;N;BEKLOMETASON;BECLOMETASONE
D07AC16;N;HYDROKORTISON-ACEPON¡T;HYDROCORTISONE ACEPONATE
D07AC17;N;FLUTIKASON;FLUTICASONE
D07AC18;N;PREDNIKARB¡T;PREDNICARBATE
D07AC19;N;DIFLUPREDN¡T;DIFLUPREDNATE
D07AC21;N;ULOBETASOL;ULOBETASOL
D07AD;N;KORTIKOSTEROIDY, VELMI SILNÃ ⁄»INN… (SKUPINA IV);CORTICOSTEROIDS, VERY POTENT (GROUP IV)
D07AD01;N;KLOBETASOL;CLOBETASOL
D07AD02;N;HALCINONID;HALCINONIDE
D07B;N;KORTIKOSTEROIDY, KOMBINACE S ANTISEPTIKY;CORTICOSTEROIDS, COMBINATIONS WITH ANTISEPTICS
D07BA;N;KORTIKOSTEROIDY, SLABÃ ⁄»INN…, KOMBINACE S ANTISEPTIKY;CORTICOSTEROIDS, WEAK, COMBINATIONS WITH ANTISEPTICS
D07BA01;N;PREDNISOLON A ANTISEPTIKA;PREDNISOLONE AND ANTISEPTICS
D07BA04;N;HYDROKORTISON A ANTISEPTIKA;HYDROCORTISONE AND ANTISEPTICS
D07BB;N;KORTIKOSTEROIDY, STÿEDNÃ ⁄»INN…, KOMBINACE S ANTISEPTIKY;CORTICOSTEROIDS, MODERATELY POTENT, COMBINATIONS WITH ANTISEPTICS
D07BB01;N;FLUMETASON A ANTISEPTIKA;FLUMETASONE AND ANTISEPTICS
D07BB02;N;DESONID A ANTISEPTIKA;DESONIDE AND ANTISEPTICS
D07BB03;N;TRIAMCINOLON A ANTISEPTIKA;TRIAMCINOLONE AND ANTISEPTICS
D07BB04;N;HYDROKORTISON-BUTYR¡T A ANTISEPTIKA;HYDROCORTISONE BUTYRATE AND ANTISEPTICS
