ATC;NT;NAZEV;NAZEV_EN
J05AX26;N;AMENAMEVIR;AMENAMEVIR
J05AX27;N;FAVIPIRAVIR;FAVIPIRAVIR
J05AX28;N;BULEVIRTID;BULEVIRTIDE
J05AX29;N;FOSTEMSAVIR;FOSTEMSAVIR
J05AX31;N;LENAKAPAVIR;LENACAPAVIR
J05AX32;N;RIAMILOVIR;RIAMILOVIR
J05AX33;N;LABUVIRTID;LABUVIRTIDE
J06;N;HYPERIMUNNÕ S…RA A IMUNOGLOBULINY;IMMUNE SERA AND IMMUNOGLOBULINS
J06A;N;HYPERIMUNNÕ S…RA;IMMUNE SERA
J06AA;N;HYPERIMUNNÕ S…RA;IMMUNE SERA
J06AA01;N;DIFTERICK› ANTITOXIN;DIPHTHERIA ANTITOXIN
J06AA02;N;TETANOV› ANTITOXIN;TETANUS ANTITOXIN
J06AA03;N;S…RUM PROTI HADÕMU JEDU;SNAKE VENOM ANTISERUM
J06AA04;N;ANTITOXIN BOTULINU;BOTULINUM ANTITOXIN
J06AA05;N;S…RUM PROTI PLYNAT… SNÃTI;GAS-GANGRENE SERA
J06AA06;N;S…RUM PROTI VZTEKLINÃ;RABIES SERUM
J06B;N;IMUNOGLOBULINY;IMMUNOGLOBULINS
J06BA;N;IMUNOGLOBULINY, NORM¡LNÕ LIDSK…;IMMUNOGLOBULINS, NORMAL HUMAN
J06BA01;N;IMUNOGLOBULINY, NORM¡LNÕ LIDSK…, PRO EXTRAVASKUL¡RNÕ APLIKACI;IMMUNOGLOBULINS, NORMAL HUMAN, FOR EXTRAVASCULAR ADM.
J06BA02;N;IMUNOGLOBULINY, NORM¡LNÕ LIDSK…, PRO INTRAVASKUL¡RNÕ APLIKACI;IMMUNOGLOBULINS, NORMAL HUMAN, FOR INTRAVASCULAR ADM.
J06BB;N;SPECIFICK… IMUNOGLOBULINY;SPECIFIC IMMUNOGLOBULINS
J06BB01;N;ANTI-D (RH) IMUNOGLOBULIN;ANTI-D (RH) IMMUNOGLOBULIN
J06BB02;N;IMUNOGLOBULIN PROTI TETANU;TETANUS IMMUNOGLOBULIN
J06BB03;N;IMUNOGLOBULIN PROTI PLAN›M NEäTOVICÕM/P¡SOV…MU OPARU;VARICELLA/ZOSTER IMMUNOGLOBULIN
J06BB04;N;IMUNOGLOBULIN PROTI HEPATITIDÃ B;HEPATITIS B IMMUNOGLOBULIN
J06BB05;N;IMUNOGLOBULIN PROTI VZTEKLINÃ;RABIES IMMUNOGLOBULIN
J06BB06;N;IMUNOGLOBULIN PROTI ZARDÃNK¡M;RUBELLA IMMUNOGLOBULIN
J06BB07;N;IMUNOGLOBULIN PROTI VAKCINII;VACCINIA IMMUNOGLOBULIN
J06BB08;N;IMUNOGLOBULIN PROTI STAFYLOKOKOV… INFEKCI;STAPHYLOCOCCUS IMMUNOGLOBULIN
J06BB09;N;IMUNOGLOBULIN PROTI CYTOMEGALOVIRU;CYTOMEGALOVIRUS IMMUNOGLOBULIN
J06BB10;N;IMUNOGLOBULIN PROTI DIFTERII;DIPHTHERIA IMMUNOGLOBULIN
J06BB11;N;IMUNOGLOBULIN PROTI HEPATITIDÃ A;HEPATITIS A IMMUNOGLOBULIN
J06BB12;N;IMUNOGLOBULIN PROTI EVROPSK… KLÕäçOV… ENCEFALITIDÃ;ENCEPHALITIS, TICK BORNE IMMUNOGLOBULIN
J06BB13;N;IMUNOGLOBULIN PROTI PERTUSI;PERTUSSIS IMMUNOGLOBULIN
J06BB14;N;IMUNOGLOBULIN PROTI SPALNI»K¡M;MEASLES IMMUNOGLOBULIN
J06BB15;N;IMUNOGLOBULIN PROTI PÿÕUäNICÕM;MUMPS IMMUNOGLOBULIN
J06BB19;N;IMUNOGLOBULIN PROTI ANTHRAXU;ANTHRAX IMMUNOGLOBULIN
J06BB30;N;SPECIFICK… IMUNOGLOBULINY, KOMBINACE;COMBINATIONS
J06BC;N;ANTIBAKTERI¡LNÕ MONOKLON¡LNÕ PROTIL¡TKY;ANTIBACTERIAL MONOCLONAL ANTIBODIES
J06BC01;N;NEBAKUMAB;NEBACUMAB
J06BC02;N;RAXIBAKUMAB;RAXIBACUMAB
J06BC03;N;BEZLOTOXUMAB;BEZLOTOXUMAB
J06BC04;N;OBILTOXAXIMAB;OBILTOXAXIMAB
J06BD;N;ANTIVIROV… MONOKLON¡LNÕ PROTIL¡TKY;ANTIVIRAL MONOCLONAL ANTIBODIES
J06BD01;N;PALIVIZUMAB;PALIVIZUMAB
J06BD02;N;MOTAVIZUMAB;MOTAVIZUMAB
J06BD03;N;TIXAGEVIMAB A CILGAVIMAB;TIXAGEVIMAB AND CILGAVIMAB
J06BD04;N;ANSUVIMAB;ANSUVIMAB
J06BD05;N;SOTROVIMAB;SOTROVIMAB
J06BD06;N;REGDANVIMAB;REGDANVIMAB
J06BD07;N;KASIRIVIMAB A IMDEVIMAB;CASIRIVIMAB AND IMDEVIMAB
J06BD08;N;NIRSEVIMAB;NIRSEVIMAB
J06BD09;N;SIPAVIBART;SIPAVIBART
J06BD10;N;KLESROVIMAB;CLESROVIMAB
J06BD11;N;LIBEVITUG;LIBEVITUG
J07;N;VAKCÕNY;VACCINES
J07A;N;BAKTERI¡LNÕ VAKCÕNY;BACTERIAL VACCINES
J07AC;N;VAKCÕNY PROTI ANTRAXU;ANTHRAX VACCINES
J07AC01;N;ANTIGEN ANTHRAXU;ANTHRAX ANTIGEN
J07AD;N;VAKCÕNY PROTI BRUCEL”ZE;BRUCELLOSIS VACCINES
J07AD01;N;BRUCELOV› ANTIGEN;BRUCELLA ANTIGEN
J07AE;N;VAKCÕNY PROTI CHOLEÿE;CHOLERA VACCINES
J07AE01;N;CHOLERA, INAKTIVOVAN¡ CELOBUNÃ»N¡ VAKCÕNA;CHOLERA, INACTIVATED, WHOLE CELL
J07AE02;N;CHOLERA, éIV¡ ATENUOVAN¡ VAKCÕNA;CHOLERA, LIVE ATTENUATED
J07AE51;N;CHOLERA, KOMBINACE S BÿIäNÕM TYFEM, INAKTIVOVAN¡ CELOBUNÃ»N¡ VAKCÕNA;CHOLERA, COMBINATIONS WITH TYPHOID VACCINE, INACTIVATED, WHOLE CELL
J07AF;N;VAKCÕNY PROTI DIFTERII;DIPHTHERIA VACCINES
J07AF01;N;DIFTERICK› TOXOID;DIPHTHERIA TOXOID
J07AG;N;VAKCÕNY PROTI INFEKCÕM VYVOLAN›M HAEMOPHILUS INFLUENZAE TYPU B;HAEMOPHILUS INFLUENZAE B VACCINES
J07AG01;N;HAEMOPHILUS INFLUENZAE B, PURIFIKOVAN› ANTIGEN KONJUGOVAN›;HAEMOPHILUS INFLUENZAE B, PURIFIED ANTIGEN CONJUGATED
J07AG51;N;HAEMOPHILUS INFLUENZAE B, KOMBINACE S TOXOIDY;HAEMOPHILUS INFLUENZAE B, COMBINATIONS WITH TOXOIDS
J07AG52;N;HAEMOPHILUS INFLUENZAE B, KOMBINACE S PERTUSÕ A TOXOIDY;HAEMOPHILUS INFLUENZAE B, COMBINATIONS WITH PERTUSSIS AND TOXOIDS
J07AG53;N;HAEMOPHILUS INFLUENZAE B-MENINGOCOCCUS C, KONJUGOVAN¡ VAKCÕNA;HAEMOPHILUS INFLUENZAE B, COMBINATIONS WITH MENINGOCOCCUS C, CONJUGATED
J07AG54;N;HAEMOPHILUS INFLUENZAE B-MENINGOCOCCUS C, Y, KONJUGOVAN¡ VAKCÕNA;HAEMOPHILUS INFLUENZA B, COMBINATIONS WITH MENINGOCOCCUS C,Y, CONJUGATED
J07AH;N;VAKCÕNY PROTI MENINGOKOKOV›M INFEKCÕM;MENINGOCOCCAL VACCINES
J07AH01;N;MENINGOCOCCUS A, PURIFIKOVAN› POLYSACHARIDOV› ANTIGEN;MENINGOCOCCUS A, PURIFIED POLYSACCHARIDES ANTIGEN
J07AH02;N;JIN¡ MENINGOKOKOV¡ MONOVALENTNÕ VAKCÕNA, PURIFIKOVAN› POLYSACHARIDOV› ANTIGEN;OTHER MENINGOCOCCAL MONOVALENT PURIFIED POLYSACCHARIDES ANTIGEN
J07AH03;N;MENINGOCOCCUS A,C, BIVAKCÕNA, PURIFIKOVAN… POLYSACHARIDOV… ANTIGENY;MENINGOCOCCUS A,C, BIVALENT PURIFIED POLYSACCHARIDES ANTIGEN
J07AH04;N;MENINGOCOCCUS A,C,Y,W-135, TETRAVAKCÕNA, PURIFIKOVAN… POLYSACHARIDOV… ANTIGENY;MENINGOCOCCUS A,C,Y,W-135, TETRAVALENT PURIFIED POLYSACCHARIDES ANTIGEN
J07AH05;N;JIN¡ MENINGOKOKOKOV¡ POLYVALENTNÕ VAKCÕNA, PURIFIKOVAN… POLYSACHARIDOV… ANTIGENY;OTHER MENINGOCOCCAL POLYVALENT PURIFIED POLYSACCHARIDES ANTIGEN
J07AH06;N;MENINGOCOCCUS B, OMV VAKCÕNA;MENINGOCOCCUS B, OUTER MEMBRANE VESICLE VACCINE
J07AH07;N;MENINGOCOCCUS C, PURIFIKOVAN› POLYSACHARIDOV› ANTIGEN KONJUGOVAN›;MENINGOCOCCUS C, PURIFIED POLYSACCHARIDES ANTIGEN CONJUGATED
J07AH08;N;MENINGOCOCCUS A,C,Y,W-135, TETRAVAKCÕNA, PURIFIKOVAN… POLYSACHARIDOV… ANTIGENY KONJUGOVAN…;MENINGOCOCCUS A,C,Y,W-135, TETRAVALENT PURIFIED POLYSACCHARIDES ANTIGEN CONJUGATED
J07AH09;N;MENINGOCOCCUS B, MULTIKOMPONENTNÕ VAKCÕNA;MENINGOCOCCUS B, MULTICOMPONENT VACCINE
J07AH10;N;MENINGOCOCCUS A, PURIFIKOVAN› POLYSACHARIDOV› ANTIGEN KONJUGOVAN›;MENINGOCOCCUS A, PURIFIED POLYSACCHARIDES ANTIGEN CONJUGATED
J07AH11;N;MENINGOCOCCUS A,B,C,Y,W-135, PENTAVAKCÕNA, PURIFIKOVAN… POLYSACHARIDOV… ANTIGENY KONJUGOVAN… A PROTEIN V¡ZAJÕCÕ FAKTOR H;MENINGOCOCCUS A,B,C,Y,W-135, PENTAVALENT PURIFIED POLYSACCHARIDES ANTIGEN CONJUGATED AND FACTOR H BINDING PROTEIN
J07AJ;N;VAKCÕNY PROTI PERTUSI;PERTUSSIS VACCINES
J07AJ01;N;PERTUSE, INAKTIVOVAN¡ CELOBUNÃ»N¡ VAKCÕNA;PERTUSSIS, INACTIVATED, WHOLE CELL
J07AJ02;N;PERTUSE, PURIFIKOVAN› ANTIGEN;PERTUSSIS, PURIFIED ANTIGEN
J07AJ51;N;PERTUSE, INAKTIVOVAN¡ CELOBUNÃ»N¡ VAKCÕNA, KOMBINACE S TOXOIDY;PERTUSSIS, INACTIVATED, WHOLE CELL, COMBINATIONS WITH TOXOIDS
J07AJ52;N;PERTUSE, PURIFIKOVAN› ANTIGEN, KOMBINACE S TOXOIDY;PERTUSSIS, PURIFIED ANTIGEN, COMBINATIONS WITH TOXOIDS
J07AK;N;VAKCÕNY PROTI MORU;PLAGUE VACCINES
J07AK01;N;MOR, INAKTIVOVAN¡ CELOBUNÃ»N¡ VAKCÕNA;PLAGUE, INACTIVATED, WHOLE CELL
J07AL;N;VAKCÕNY PROTI PNEUMOKOKOV›M INFEKCÕM;PNEUMOCOCCAL VACCINES
J07AL01;N;PNEUMOCOCCUS, PURIFIKOVAN… POLYSACHARIDOV… ANTIGENY;PNEUMOCOCCUS, PURIFIED POLYSACCHARIDES ANTIGEN
J07AL02;N;PNEUMOCOCCUS, PURIFIKOVAN… POLYSACHARIDOV… ANTIGENY KONJUGOVAN…;PNEUMOCOCCUS, PURIFIED POLYSACCHARIDES ANTIGEN CONJUGATED
