KOD_LATKY;NAZEV_INN;NAZEV_EN;NAZEV;ZAV
9414;ACECLOFENACUM;ACECLOFENAC;ACEKLOFENAK;
9420;MELOXICAMUM;MELOXICAM;MELOXIKAM;
9440;LAMOTRIGINUM;LAMOTRIGINE;LAMOTRIGIN;
9458;OCTREOTIDUM;OCTREOTIDE;OKTREOTID;
9459;TERBINAFINUM;TERBINAFINE;TERBINAFIN;
9466;RIFABUTINUM;RIFABUTIN;RIFABUTIN;
9472;CILAZAPRILUM;CILAZAPRIL;CILAZAPRIL;
9474;CEFIXIMUM;CEFIXIME;CEFIXIM;
9476;CILOSTAZOLUM;CILOSTAZOL;CILOSTAZOL;
9484;IODIXANOLUM;IODIXANOL;JODIXANOL;
9490;TOREMIFENUM;TOREMIFENE;TOREMIFEN;
9507;GLIMEPIRIDUM;GLIMEPIRIDE;GLIMEPIRID;
9518;AMLODIPINUM;AMLODIPINE;AMLODIPIN;
9530;ZOLPIDEMUM;ZOLPIDEM;ZOLPIDEM;7
9534;TRANDOLAPRILUM;TRANDOLAPRIL;TRANDOLAPRIL;
9539;MIFEPRISTONUM;MIFEPRISTONE;MIFEPRISTON;
9541;PERINDOPRILUM;PERINDOPRIL;PERINDOPRIL;
9552;ESCULINUM;ESCULIN;ESKULIN;
9563;AMOXICILLINUM TRIHYDRICUM;AMOXICILLIN TRIHYDRATE;TRIHYDR¡T AMOXICILINU;
9564;CIPROFLOXACINI HYDROCHLORIDUM MONOHYDRICUM;CIPROFLOXACIN HYDROCHLORIDE MONOHYDRATE;MONOHYDR¡T CIPROFLOXACIN-HYDROCHLORIDU;
9565;CIPROFLOXACINI LACTAS;CIPROFLOXACIN LACTATE;CIPROFLOXACIN-LAKT¡T;
9568;BETAXOLOLI HYDROCHLORIDUM;BETAXOLOL HYDROCHLORIDE;BETAXOLOL-HYDROCHLORID;
9592;FERROSI GLUCONAS;FERROUS GLUCONATE;FERRUM(II)-GLUKON¡T;
9600;ALBUMINUM HUMANUM MACROAGGREGATUM;HUMAN ALBUMIN MACROAGGREGATED;MAKROAGREG¡TY LIDSK…HO ALBUMINU;
9603;CEFTAZIDIMUM;CEFTAZIDIME;CEFTAZIDIM;
9614;IODIUM;IODINE;JOD;
9632;BORUM;BORON;BOR;
9648;GLYCOSAMINOGLYCANI POLYSULFAS;GLYCOSAMINOGLYCAN POLYSULFATE;GLYKOSAMINOGLYKAN-POLYSULF¡T;
9655;SELENIUM;SELENIUM;SELEN;
9657;GLUCOSAMINI SULFAS;GLUCOSAMINE SULFATE;GLUKOSAMIN-SULF¡T;
9666;DICLOFENACUM DIETHYLAMINUM;DICLOFENAC DIETHYLAMINE;DIKLOFENAK-DIETHYLAMIN;
9667;IMIPENEMUM MONOHYDRICUM;IMIPENEM MONOHYDRATE;MONOHYDR¡T IMIPENEMU;
9668;HEMINUM;HEMIN;HEMIN;
9672;CILASTATINUM NATRICUM;CILASTATIN SODIUM;SODN¡ SŸL CILASTATINU;
9673;THALLOSI (201TL) CHLORIDUM;THALLOUS (201TL) CHLORIDE;CHLORID THALLN›-(201TL);
9679;MEBEVERINI HYDROCHLORIDUM;MEBEVERINE HYDROCHLORIDE;MEBEVERIN-HYDROCHLORID;
9701;NALBUPHINI HYDROCHLORIDUM;NALBUPHINE HYDROCHLORIDE;NALBUFIN-HYDROCHLORID;
9709;GONADORELINI ACETAS;GONADORELIN ACETATE;GONADORELIN-ACET¡T;
9713;SELACHIORUM HEPATIS OLEUM;SHARK-LIVER OIL;OLEJ ZE éRALO»ÕCH JATER;
9714;ROXITHROMYCINUM;ROXITHROMYCIN;ROXITHROMYCIN;
9747;SULFADIAZINUM ARGENTUM;SILVER SULFADIAZINE;STÿÕBRN¡ SŸL SULFADIAZINU;
9755;STIBIUM;ANTIMONY;ANTIMON;
9759;FOSFOCREATINUM DINATRICUM;FOSFOCREATINE DISODIUM;DISODN¡ SŸL FOSFOKREATINU;
9807;NATRII PENTOSANI POLYSULFAS HYPOMOLECULARIS;PENTOSAN POLYSULFATE SODIUM;SODN¡ SŸL NÕZKOMOLEKUL¡RNÕHO PENTOSAN-POLYSULF¡TU;
9816;ZUCLOPENTHIXOLI ACETAS;ZUCLOPENTHIXOL ACETATE;ZUKLOPENTHIXOL-ACET¡T;
9834;NALTREXONI HYDROCHLORIDUM;NALTREXONE HYDROCHLORIDE;NALTREXON-HYDROCHLORID;
9835;AMILORIDI HYDROCHLORIDUM;AMILORIDE HYDROCHLORIDE;AMILORID-HYDROCHLORID;
9837;ACIDUM CITRICUM;CITRIC ACID;KYSELINA CITRONOV¡;
9846;CALCII DOBESILAS MONOHYDRICUS;CALCIUM DOBESILATE MONOHYDRATE;MONOHYDR¡T KALCIUM-DOBESIL¡TU;
9854;CODEINI PHOSPHAS;CODEINE PHOSPHATE;KODEIN-FOSF¡T;2
9861;CHLORHEXIDINI DIGLUCONATIS SOLUTIO;CHLORHEXIDINE DIGLUCONATE SOLUTION;ROZTOK CHLORHEXIDIN-DIGLUKON¡TU;
9862;CODEINUM;CODEINE;KODEIN;2
9863;ZINCI SULFAS;ZINC SULFATE;SÕRAN ZINE»NAT›;
9869;VITAMINUM E;VITAMIN E;VITAMIN E;
9879;ZIDOVUDINUM;ZIDOVUDINE;ZIDOVUDIN;
9891;UNITHIOLUM NATRICUM;UNITHIOL (SODIUM SALT);SODN¡ SŸL UNITHIOLU;
9892;UNITHIOLUM NATRICUM MONOHYDRICUM;UNITHIOL SODIUM MONOHYDRATE;MONOHYDR¡T SODN… SOLI UNITHIOLU;
9899;TESTOSTERONI DECANOAS;TESTOSTERONE DECANOATE;TESTOSTERON-DEKANO¡T;
9905;KETOTIFENI FUMARAS;KETOTIFEN HYDROGEN FUMARATE;KETOTIFEN-FUMAR¡T;
9907;THIETHYLPERAZINI MALAS;THIETHYLPERAZINE MALATE;THIETHYLPERAZIN-MAL¡T;
9913;BUTANDIOLUM;BUTANEDIOL;BUTANDIOL;
9925;OXYQUINOLINUM;OXYQUINOLINE;OXYCHINOLIN;
9941;SOJAE OLEUM FRACTIONATUM;FRACTIONATED SOYA-BEAN OIL;FRAKCIONOVAN› S”JOV› OLEJ;
9945;NOREPINEPHRINI TARTRAS;NOREPINEPHRINE HYDROGEN TARTRATE;NOREPINEFRIN-TARTAR¡T;
9951;SULBACTAMUM NATRICUM;SULBACTAM SODIUM;SODN¡ SŸL SULBAKTAMU;
9971;FLUCONAZOLUM;FLUCONAZOLE;FLUKONAZOL;
9974;ALTEPLASUM;ALTEPLASE;ALTEPLASA;
9989;PROPIVERINI HYDROCHLORIDUM;PROPIVERINE HYDROCHLORIDE;PROPIVERIN-HYDROCHLORID;
9991;MOMETASONUM;MOMETASONE;MOMETASON;
9992;MOMETASONI FUROAS;MOMETASONE FUROATE;MOMETASON-FURO¡T;
10023;NAFTIFINI HYDROCHLORIDUM;NAFTIFINE HYDROCHLORIDE;NAFTIFIN-HYDROCHLORID;
10027;CEFUROXIMUM AXETILUM;CEFUROXIME AXETIL;CEFUROXIM-AXETIL;
10045;STANNOSI CHLORIDUM;STANNOUS CHLORIDE;CHLORID CÕNAT›;
10051;CEFEPIMUM;CEFEPIME;CEFEPIM;
10053;MIDAZOLAMI MALEAS;MIDAZOLAM MALEATE;MIDAZOLAM-MALEIN¡T;7
10055;FLUVOXAMINI MALEAS;FLUVOXAMINE MALEATE;FLUVOXAMIN-MALEIN¡T;
10060;NATRII ACETAS;SODIUM ACETATE;NATRIUM-ACET¡T;
10062;ACIDUM ACETICUM GLACIALE;ACETIC ACID, GLACIAL;LEDOV¡ KYSELINA OCTOV¡;
10082;DINATRII CLODRONAS;DISODIUM CLODRONATE;DINATRIUM-KLODRON¡T;
10086;IMMUNOGLOBULINUM ANTITHYMOCYTARUM CUNICULUM;RABBIT THYMOCYTE IMMUNOGLOBULIN;KR¡LI»Õ IMUNOGLOBULIN PROTI BU“K¡M BRZLÕKU;
10087;BISOPROLOLI FUMARAS;BISOPROLOL FUMARATE;BISOPROLOL-FUMAR¡T;
10088;UROFOLLITROPINUM;UROFOLLITROPIN;UROFOLITROPIN;
10089;MAGNESII SULFAS;MAGNESIUM SULFATE;SÕRAN HOÿE»NAT›;
10134;LOVASTATINUM;LOVASTATIN;LOVASTATIN;
10210;TRIPTORELINUM;TRIPTORELIN;TRIPTORELIN;
