KOD_LATKY;NAZEV_INN;NAZEV_EN;NAZEV;ZAV
14827;DINATRII CLODRONAS TETRAHYDRICUS;CLODRONATE DISODIUM TETRAHYDRATE;TETRAHYDR¡T DINATRIUM-KLODRON¡TU;
14830;TOPOTECANI HYDROCHLORIDUM;TOPOTECAN HYDROCHLORIDE;TOPOTEKAN-HYDROCHLORID;
14831;CARVI EXTRACTUM FLUIDUM;CARAWAY LIQUID EXTRACT;TEKUT› KMÕNOV› EXTRAKT;
14838;DONEPEZILI HYDROCHLORIDUM;DONEPEZIL HYDROCHLORIDE;DONEPEZIL-HYDROCHLORID;
14843;REMIFENTANILI HYDROCHLORIDUM;REMIFENTANIL HYDROCHLORIDE;REMIFENTANIL-HYDROCHLORID;1
14852;ROPINIROLI HYDROCHLORIDUM;ROPINIROLE HYDROCHLORIDE;ROPINIROL-HYDROCHLORID;
14857;NITROGENII OXIDUM;NITRIC OXIDE;OXID DUSNAT›;
14862;LANREOTIDI ACETAS;LANREOTIDE ACETATE;LANREOTID-ACET¡T;
14884;ATORVASTATINUM CALCICUM TRIHYDRICUM;ATORVASTATIN CALCIUM TRIHYDRATE;TRIHYDR¡T V¡PENAT… SOLI ATORVASTATINU;
14887;ADEMETIONINI BUSILAS;ADEMETIONINE BUSILATE;ADEMETIONIN-BUSYL¡T;
14890;MAGNESII LACTAS DIHYDRICUS;MAGNESIUM LACTATE DIHYDRATE;DIHYDR¡T MAGNESIUM-LAKT¡TU;
14893;EPIRUBICINI HYDROCHLORIDUM;EPIRUBICIN HYDROCHLORIDE;EPIRUBICIN-HYDROCHLORID;
14895;MONTELUKASTUM NATRICUM;MONTELUKAST SODIUM;SODN¡ SŸL MONTELUKASTU;
14896;ANTITOXINUM DIGITALIS OVILLUM (FAB);OVINE DIGOXIN ANTITOXIN (FAB);OV»Õ DIGITALISOV› ANTITOXIN (FAB);
14912;TROMETAMOLI TIOCTAS;TROMETAMOL THIOCTATE;TROMETAMOL-TIOKT¡T;
14951;QUETIAPINI FUMARAS;QUETIAPINE FUMARATE;KVETIAPIN-FUMAR¡T;
14952;NARATRIPTANI HYDROCHLORIDUM;NARATRIPTAN HYDROCHLORIDE;NARATRIPTAN-HYDROCHLORID;
14953;CEFPROZILUM MONOHYDRICUM;CEFPROZIL MONOHYDRATE;MONOHYDR¡T CEFPROZILU;
14957;MOMETASONI FUROAS MONOHYDRICUS;MOMETASONE FUROATE MONOHYDRATE;MONOHYDR¡T MOMETASON-FURO¡TU;
14980;ESOMEPRAZOLUM;ESOMEPRAZOLE;ESOMEPRAZOL;
14982;FONDAPARINUXUM NATRICUM;FONDAPARINUX SODIUM;SODN¡ SŸL FONDAPARINUXU;
14986;MIDOSTAURINUM;MIDOSTAURIN;MIDOSTAURIN;
14988;NATALIZUMABUM;NATALIZUMAB;NATALIZUMAB;
14990;PALIVIZUMABUM;PALIVIZUMAB;PALIVIZUMAB;
14996;TENECTEPLASUM;TENECTEPLASE;TENEKTEPLASA;
15029;ESCHERICHIA COLI;ESCHERICHIA COLI;ESCHERICHIA COLI;
15161;INTERFERONUM BETA-1A;INTERFERON BETA-1A;INTERFERON BETA-1A;
15163;HAEMOPHILI INFLUENZAE TYPI B POLYSACCHARIDUM CONIUGATUM CUM TETANI ANATOXINO;HAEMOPHILUS INFLUENZAE TYPE B POLYSACCHARIDE CONJUGATED TO TETANUS TOXOID;POLYSACHARID HAEMOPHILUS INFLUENZAE TYPU B KONJUGOVAN› S TETANICK›M TOXOIDEM;
15164;HERBARUM EXTRACTUM FLUIDUM PRO SINUPRET;HERBAL LIQUID EXTRACT FOR SINUPRET;TEKUT› BYLINN› EXTRAKT PRO PÿÕPRAVEK SINUPRET;
15170;FOLLITROPINUM;FOLLITROPIN;FOLITROPIN;
15177;CYANOCOBALAMINI TRITURATIO CUM LACTOSO 0.5 %;LACTOSE WITH CYANOCOBALAMINE TRITURATION (0.5 PER CENT);TRITURACE KYANOKOBALAMINU S LAKTOSOU 0.5 %;
15205;CANDESARTANUM CILEXETILUM;CANDESARTAN CILEXETIL;KANDESARTAN-CILEXETIL;
15207;ZIPRASIDONI HYDROCHLORIDUM MONOHYDRICUM;ZIPRASIDONE HYDROCHLORIDE MONOHYDRATE;MONOHYDR¡T ZIPRASIDON-HYDROCHLORIDU;
15209;RIVASTIGMINI HYDROGENOTARTRAS;RIVASTIGMINE HYDROGEN TARTRATE;RIVASTIGMIN-HYDROGEN-TARTAR¡T;
15210;FAECIS EXTRACTUM FLUIDUM;YEAST FLUID EXTRACT;TEKUT› KVASNICOV› EXTRAKT;
15221;CARBOMERUM 980;CARBOMER 980;KARBOMER 980;
15223;GLATIRAMERI ACETAS;GLATIRAMER ACETATE;GLATIRAMER-ACET¡T;
15229;FEXOFENADINI HYDROCHLORIDUM;FEXOFENADINE HYDROCHLORIDE;FEXOFENADIN-HYDROCHLORID;
15268;COLESEVELAMUM;COLESEVELAM;KOLESEVELAM;
15271;EPLERENONUM;EPLERENONE;EPLERENON;
15276;INFLIXIMABUM;INFLIXIMAB;INFLIXIMAB;
15284;NONACOGUM ALFA;NONACOG ALFA;NONAKOG ALFA;
15292;RITUXIMABUM;RITUXIMAB;RITUXIMAB;
15293;RIVASTIGMINUM;RIVASTIGMINE;RIVASTIGMIN;
15294;ROFLUMILASTUM;ROFLUMILAST;ROFLUMILAST;
15320;PAROXETINI HYDROCHLORIDUM HEMIHYDRICUM;PAROXETINE HYDROCHLORIDE HEMIHYDRATE;HEMIHYDR¡T PAROXETIN-HYDROCHLORIDU;
15330;DICLOFENACUM KALICUM;DICLOFENAC POTASSIUM;DRASELN¡ SŸL DIKLOFENAKU;
15351;DIAZOLIDINYLUREA;DIAZOLIDINYL UREA;DIAZOLIDINYLMO»OVINA;
15360;ABACAVIRUM;ABACAVIR;ABAKAVIR;
15365;BASILIXIMABUM;BASILIXIMAB;BASILIXIMAB;
15369;BRINZOLAMIDUM;BRINZOLAMIDE;BRINZOLAMID;
15381;GANAXOLONUM;GANAXOLONE;GANAXOLON;
15384;INSULINUM ASPARTUM;INSULIN ASPART;INSULIN-ASPART;
15385;INSULINUM GLARGINUM;INSULIN GLARGINE;INSULIN-GLARGIN;
15392;LINEZOLIDUM;LINEZOLID;LINEZOLID;
15410;TASONERMINUM;TASONERMIN;TASONERMIN;
15416;LITHII CHLORIDUM;LITHIUM CHLORIDE;CHLORID LITHN›;
15443;UREA (13C);UREA (13C);MO»OVINA-(13C);
15455;COLECALCIFEROLI PULVIS;CHOLECALCIFEROL CONCENTRATE (POWDER FORM);PR¡äKOV› CHOLEKALCIFEROL;
15467;VITAMINUM A;VITAMIN A;VITAMIN A;
15483;DUTASTERIDUM;DUTASTERIDE;DUTASTERID;
15485;EFAVIRENZUM;EFAVIRENZ;EFAVIRENZ;
15487;EPTIFIBATIDUM;EPTIFIBATIDE;EPTIFIBATID;
15492;FULVESTRANTUM;FULVESTRANT;FULVESTRANT;
15495;LEVOCETIRIZINUM;LEVOCETIRIZINE;LEVOCETIRIZIN;
15502;MOXIFLOXACINUM;MOXIFLOXACIN;MOXIFLOXACIN;
15504;NELARABINUM;NELARABINE;NELARABIN;
15506;NEPAFENACUM;NEPAFENAC;NEPAFENAK;
15508;NITISINONUM;NITISINONE;NITISINON;
15512;PARICALCITOLUM;PARICALCITOL;PARIKALCITOL;
15513;PEMETREXEDUM;PEMETREXED;PEMETREXED;
15519;PREGABALINUM;PREGABALIN;PREGABALIN;
15520;PRUCALOPRIDUM;PRUCALOPRIDE;PRUKALOPRID;
15533;THYROTROPINUM ALFA;THYROTROPIN ALFA;THYROTROPIN ALFA;
15536;TRASTUZUMABUM;TRASTUZUMAB;TRASTUZUMAB;
15538;VALGANCICLOVIRUM;VALGANCICLOVIR;VALGANCIKLOVIR;
15540;ZICONOTIDUM;ZICONOTIDE;ZIKONOTID;
15542;PRAMIPEXOLI DIHYDROCHLORIDUM MONOHYDRICUM;PRAMIPEXOLE DIHYDROCHLORIDE MONOHYDRATE;MONOHYDR¡T PRAMIPEXOL-DIHYDROCHLORIDU;
15552;PEFLOXACINI MESILAS DIHYDRICUS;PEFLOXACIN MESILATE DIHYDRATE;DIHYDR¡T PEFLOXACIN-MESIL¡TU;
15555;PERFLUTRENUM IN MICROSPHAERIS;PERFLUTREN GAS IN MICROSPHERES;PERFLUTREN V MIKROKULI»K¡CH;
15556;OCTREOTIDI ACETAS;OCTREOTIDE ACETATE;OKTREOTID-ACET¡T;
15560;SILDENAFILI CITRAS;SILDENAFIL CITRATE;SILDENAFIL-CITR¡T;
15568;BEXAROTENUM;BEXAROTENE;BEXAROTEN;
15570;CASPOFUNGINUM;CASPOFUNGIN;KASPOFUNGIN;
15571;CORIFOLLITROPINUM ALFA;CORIFOLLITROPIN ALFA;KORIFOLITROPIN ALFA;
15575;DESLORATADINUM;DESLORATADINE;DESLORATADIN;
15579;EMTRICITABINUM;EMTRICITABINE;EMTRICITABIN;
15587;GIMERACILUM;GIMERACIL;GIMERACIL;
15589;INSULINUM DETEMIRUM;INSULIN DETEMIR;INSULIN-DETEMIR;
15590;PITAVASTATINUM;PITAVASTATIN;PITAVASTATIN;
15593;LOPINAVIRUM;LOPINAVIR;LOPINAVIR;
15595;MARIBAVIRUM;MARIBAVIR;MARIBAVIR;
15600;OLMESARTANUM MEDOXOMILUM;OLMESARTAN MEDOXOMIL;OLMESARTAN-MEDOXOMIL;
15601;OSELTAMIVIRUM;OSELTAMIVIR;OSELTAMIVIR;
15602;OTERACILUM;OTERACIL;OTERACIL;
15603;PARECOXIBUM;PARECOXIB;PAREKOXIB;
15618;TERIFLUNOMIDUM;TERIFLUNOMIDE;TERIFLUNOMID;
15620;TIPRANAVIRUM;TIPRANAVIR;TIPRANAVIR;
15623;TRAVOPROSTUM;TRAVOPROST;TRAVOPROST;
15638;ESCHERICHIAE COLI METABOLITA;ESCHERICHIA COLI METABOLITES;METABOLITY ESCHERICHIA COLI;
15639;ENTEROCOCCI FAECALIS METABOLITA;ENTEROCOCCUS FAECALIS METABOLITES;METABOLITY ENTEROCOCCUS FAECALIS;
15640;LACTOBACILLI ACIDOPHILI METABOLITA;LACTOBACILLUS ACIDOPHILUS METABOLITES;METABOLITY LACTOBACILLUS ACIDOPHILUS;
15641;LACTOBACILLI HELVETICI METABOLITA;LACTOBACILLUS HELVETICUS METABOLITES;METABOLITY LACTOBACILLUS HELVETICUS;
15663;ACIDUM ASCORBICUM ETHYLCELLULOSO OBDUCTUM;ASCORBIC ACID COATED WITH ETHYLCELLULOSE;KYSELINA ASKORBOV¡ OBALEN¡ ETHYLCELULOSOU;
15675;EMEDASTINI DIFUMARAS;EMEDASTINE DIFUMARATE;EMEDASTIN-DIFUMAR¡T;
15677;COLCHICI EXTRACTUM SICCUM;MEADOW SAFFRON DRY EXTRACT;SUCH› OC⁄NOV› EXTRAKT;
15686;PROTEINUM C;PROTEIN C;PROTEIN C;
15691;FLUOROMETHOLONI ACETAS;FLUOROMETHOLONE ACETATE;FLUORMETHOLON-ACET¡T;
15694;HERBARUM EXTRACTUM FLUIDUM PRO PASSIT;HERBAL LIQUID EXTRACT FOR PASSIT;TEKUT› BYLINN› EXTRAKT PRO PÿÕPRAVEK PASSIT;
15701;CETRORELIXI ACETAS;CETRORELIX ACETATE;CETRORELIX-ACET¡T;
15753;GLUCOSAMINI SULFAS ET NATRII CHLORIDUM;GLUCOSAMINE SULFATE SODIUM CHLORIDE;GLUKOSAMIN-SULF¡T S CHLORIDEM SODN›M;
15791;AURANTII DULCIS PERICARPII TINCTURA;SWEET ORANGE TINCTURE;TINKTURA Z OPLODÕ SLADK…HO POMERAN»E;
15793;ABACAVIRI SULFAS;ABACAVIR SULFATE;ABAKAVIR-SULF¡T;
15802;ANIDULAFUNGINUM;ANIDULAFUNGIN;ANIDULAFUNGIN;
15803;ARTENIMOLUM;ARTENIMOL;ARTENIMOL;
15810;ESKETAMINUM;ESKETAMINE;ESKETAMIN;
15811;ETANERCEPTUM;ETANERCEPT;ETANERCEPT;
15826;MEPOLIZUMABUM;MEPOLIZUMAB;MEPOLIZUMAB;
15829;PIMECROLIMUSUM;PIMECROLIMUS;PIMEKROLIMUS;
15832;RASBURICASUM;RASBURICASE;RASBURIKASA;
15871;ILOPROSTUM TROMETAMOLUM;ILOPROST TROMETAMOL;ILOPROST-TROMETAMOL;
15923;PANTOPRAZOLUM NATRICUM;PANTOPRAZOLE SODIUM;SODN¡ SŸL PANTOPRAZOLU;
15947;ACIDI AMINOLEVULINICI HYDROCHLORIDUM;AMINOLEVULINIC ACID HYDROCHLORIDE;HYDROCHLORID KYSELINY AMINOLEVULOV…;
15973;GADOBENAS DIMEGLUMINUM;GADOBENATE DIMEGLUMINE;GADOBEN¡T-DIMEGLUMIN;
15982;CYNOSBATI FRUCTUS SINE SEMINE;DOG ROSE WITHOUT ACHENES;äÕPEK ZBAVEN› NAéEK;
15987;OCTENIDINI DIHYDROCHLORIDUM;OCTENIDINE DIHYDROCHLORIDE;OKTENIDIN-DIHYDROCHLORID;
15993;PIPERACILLINUM MONOHYDRICUM;PIPERACILLIN MONOHYDRATE;MONOHYDR¡T PIPERACILINU;
15996;MUPIROCINUM CALCICUM DIHYDRICUM;MUPIROCIN CALCIUM DIHYDRATE;DIHYDR¡T V¡PENAT… SOLI MUPIROCINU;
15999;OLIVAE OLEUM RAFFINATUM;OLIVE OIL, REFINED;»IäTÃN› OLIVOV› OLEJ;
16009;ACIDUM AMINOLEVULINICUM;AMINOLEVULINIC ACID;KYSELINA AMINOLEVULOV¡;
16030;CISATRACURIUM;CISATRACURIUM (CATION);CISATRAKURIUM;
16040;BISULEPINUM;BISULEPIN;BISULEPIN;
16041;DEXAMETHASONI DIHYDROGENOPHOSPHAS;DEXAMETHASONE DIHYDROGEN PHOSPHATE;DEXAMETHASON-DIHYDROGEN-FOSF¡T;
16051;ADALIMUMABUM;ADALIMUMAB;ADALIMUMAB;
16059;BILASTINUM;BILASTINE;BILASTIN;
16062;CANGRELORUM;CANGRELOR;KANGRELOR;
16063;CETUXIMABUM;CETUXIMAB;CETUXIMAB;
16072;ENTECAVIRUM;ENTECAVIR;ENTEKAVIR;
16076;ESCITALOPRAMUM;ESCITALOPRAM;ESCITALOPRAM;
16078;EVEROLIMUSUM;EVEROLIMUS;EVEROLIMUS;
16088;METRELEPTINUM;METRELEPTIN;METRELEPTIN;
16093;PEGVISOMANTUM;PEGVISOMANT;PEGVISOMANT;
16095;PERFLUTRENUM;PERFLUTREN;PERFLUTREN;
16097;POSACONAZOLUM;POSACONAZOLE;POSAKONAZOL;
16109;TENOFOVIRUM;TENOFOVIR;TENOFOVIR;
16111;VARDENAFILUM;VARDENAFIL;VARDENAFIL;
16117;NEVIRAPINUM HEMIHYDRICUM;NEVIRAPINE HEMIHYDRATE;HEMIHYDR¡T NEVIRAPINU;
16147;BENZODODECINII BROMIDI SOLUTIO 10%;BENZODODECINIUM BROMIDE SOLUTION 10 PER CENT;ROZTOK BENZODODECINIUM-BROMIDU 10%;
16171;ATOSIBANI ACETAS;ATOSIBAN ACETATE;ATOSIBAN-ACET¡T;
16173;SACCHAROMYCES BOULARDII SICCATUS;DRIED SACCHAROMYCES BOULARDII;SUäEN… SACCHAROMYCES BOULARDII;
16187;DEXMEDETOMIDINI HYDROCHLORIDUM;DEXMEDETOMIDINE HYDROCHLORIDE;DEXMEDETOMIDIN-HYDROCHLORID;
16190;NATRII RISEDRONAS;RISEDRONATE SODIUM;NATRIUM-RISEDRON¡T;
16192;ESOMEPRAZOLUM MAGNESICUM TRIHYDRICUM;ESOMEPRAZOLE MAGNESIUM TRIHYDRATE;TRIHYDR¡T HOÿE»NAT… SOLI ESOMEPRAZOLU;
16198;INSULINUM ASPARTUM PROTAMINATUM CRISTALLINUM;PROTAMINE INSULIN ASPART (CRYSTALLINE);KRYSTALICK› INSULIN-ASPART S PROTAMINEM;
16212;ALEMTUZUMABUM;ALEMTUZUMAB;ALEMTUZUMAB;
16213;ALISKIRENUM;ALISKIREN;ALISKIREN;
16215;BEVACIZUMABUM;BEVACIZUMAB;BEVACIZUMAB;
16227;EZETIMIBUM;EZETIMIBE;EZETIMIB;
16238;NORELGESTROMINUM;NORELGESTROMIN;NORELGESTROMIN;
16241;ORITAVANCINUM;ORITAVANCIN;ORITAVANCIN;
16243;PALIPERIDONUM;PALIPERIDONE;PALIPERIDON;
16247;ROSUVASTATINUM;ROSUVASTATIN;ROSUVASTATIN;
16248;ROTIGOTINUM;ROTIGOTINE;ROTIGOTIN;
16253;TOLVAPTANUM;TOLVAPTAN;TOLVAPTAN;
16261;DEXKETOPROFENUM TROMETAMOLUM;DEXKETOPROFEN TROMETAMOL;DEXKETOPROFEN-TROMETAMOL;
16263;LERCANIDIPINI HYDROCHLORIDUM;LERCANIDIPINE HYDROCHLORIDE;LERKANIDIPIN-HYDROCHLORID;
16285;ACIDUM ZOLEDRONICUM MONOHYDRICUM;ZOLEDRONIC ACID MONOHYDRATE;MONOHYDR¡T KYSELINY ZOLEDRONOV…;
16289;OLIVAE ET SOJAE OLEUM RAFFINATUM (4:1);OLIVE OIL AND SOYA-BEAN OIL (4:1), REFINED;»IäTÃN› OLIVOV› A S”JOV› OLEJ (4:1);
16290;PIOGLITAZONI HYDROCHLORIDUM;PIOGLITAZONE HYDROCHLORIDE;PIOGLITAZON-HYDROCHLORID;
16292;ESCINUM ALFA;ALPHA-ESCIN;ESCIN ALFA;
16298;IMATINIBI MESILAS;IMATINIB MESILATE;IMATINIB-MESIL¡T;
16311;ALLERGENA POLLINUM GRAMINIUM;GRASS POLLEN ALLERGENS;ALERGENY Z TRAVNÕCH PYLŸ;
16332;AGALSIDASUM ALFA;AGALSIDASE ALFA;AGALSIDASA ALFA;
16333;AGALSIDASUM BETA;AGALSIDASE BETA;AGALSIDASA BETA;
16335;APREPITANTUM;APREPITANT;APREPITANT;
16341;EDOTREOTIDUM;EDOTREOTIDE;EDOTREOTID;
16347;ERTAPENEMUM;ERTAPENEM;ERTAPENEM;
16348;ETORICOXIBUM;ETORICOXIB;ETORIKOXIB;
16351;FESOTERODINUM;FESOTERODINE;FESOTERODIN;
16354;IMATINIBUM;IMATINIB;IMATINIB;
16355;INSULINUM GLULISINUM;INSULIN GLULISINE;INSULIN-GLULISIN;
16358;MICAFUNGINUM;MICAFUNGIN;MIKAFUNGIN;
16364;OMALIZUMABUM;OMALIZUMAB;OMALIZUMAB;
16365;PEGINTERFERONUM ALFA-2A;PEGINTERFERON ALFA-2A;PEGINTERFERON ALFA-2A;
16372;SAFINAMIDUM;SAFINAMIDE;SAFINAMID;
16391;ALLERGENA POLLINUM ARBORIUM;TREE POLLEN ALLERGENS;ALERGENY ZE STROMOV›CH PYLŸ;
16392;ALLERGENA POLLINUM HERBARUM INUTILIUM;WEED POLLEN ALLERGENS;ALERGENY Z PYLŸ PLEVELŸ;
16396;NATRII GLYCEROPHOSPHAS;SODIUM GLYCEROPHOSPHATE;NATRIUM-GLYCEROFOSF¡T;
16400;ROPIVACAINI HYDROCHLORIDUM;ROPIVACAINE HYDROCHLORIDE;ROPIVAKAIN-HYDROCHLORID;
16403;SAMARII (153 SM) PENTANATRII LEXIDRONAMUM;SAMARIUM (153SM) LEXIDRONAM PENTASODIUM;SAMARIUM-(153SM)-PENTANATRIUM-LEXIDRONAM¡T;
16422;TADALAFILUM;TADALAFIL;TADALAFIL;
16437;HAEMAGGLUTININUM;HAEMAGGLUTININ;HEMAGLUTININ;
16438;PROTHROMBINUM MULTIPLEX HUMANUM;HUMAN PROTHROMBIN COMPLEX;LIDSK› PROTROMBINOV› KOMPLEX;
16441;QUINAGOLIDI HYDROCHLORIDUM;QUINAGOLIDE HYDROCHLORIDE;CHINAGOLID-HYDROCHLORID;
16445;LEVOCETIRIZINI DIHYDROCHLORIDUM;LEVOCETIRIZINE DIHYDROCHLORIDE;LEVOCETIRIZIN-DIHYDROCHLORID;
16454;CASPOFUNGINI DIACETAS;CASPOFUNGIN DIACETATE;KASPOFUNGIN-DIACET¡T;
16461;NATRII MYCOPHENOLAS;MYCOPHENOLATE SODIUM;NATRIUM-MYKOFENOL¡T;
16464;ATORVASTATINUM CALCICUM;ATORVASTATIN CALCIUM;V¡PENAT¡ SŸL ATORVASTATINU;
16475;AMBRISENTANUM;AMBRISENTAN;AMBRISENTAN;
16479;BIMATOPROSTUM;BIMATOPROST;BIMATOPROST;
16482;DALBAVANCINUM;DALBAVANCIN;DALBAVANCIN;
16483;DARBEPOETINUM ALFA;DARBEPOETIN ALFA;DARBEPOETIN ALFA;
16489;LACOSAMIDUM;LACOSAMIDE;LAKOSAMID;
16490;ERLOTINIBUM;ERLOTINIB;ERLOTINIB;
16491;FEBUXOSTATUM;FEBUXOSTAT;FEBUXOSTAT;
16496;GEFITINIBUM;GEFITINIB;GEFITINIB;
16504;LARONIDASUM;LARONIDASE;LARONIDASA;
16508;MIGLUSTATUM;MIGLUSTAT;MIGLUSTAT;
16514;OSPEMIFENUM;OSPEMIFENE;OSPEMIFEN;
16515;PEGFILGRASTIMUM;PEGFILGRASTIM;PEGFILGRASTIM;
16521;RESLIZUMABUM;RESLIZUMAB;RESLIZUMAB;
16525;SILODOSINUM;SILODOSIN;SILODOSIN;
16526;SOLIFENACINUM;SOLIFENACIN;SOLIFENACIN;
16537;ENFUVIRTIDUM;ENFUVIRTIDE;ENFUVIRTID;
16541;AMLODIPINI MALEAS;AMLODIPINE MALEATE;AMLODIPIN-MALEIN¡T;
16544;NEISSERIAE MENINGITIDIS CLASSIS C OLIGOSACCHARIDUM;NEISSERIA MENINGITIDIS GROUP C OLIGOSACCHARIDE;OLIGOSACHARID NEISSERIA MENINGITIDIS SKUPINY C;
16564;PARECOXIBUM NATRICUM;PARECOXIB SODIUM;SODN¡ SŸL PAREKOXIBU;
16565;ALLERGENA VILLI ANIMALIUM DOMESTICORUM;DOMESTIC ANIMALS HAIRS ALLERGENS;ALERGENY ZE SRSTI DOM¡CÕCH ZVÕÿAT;
16568;VIRUS VARICELLAE VIVUM ATTENUATUM;LIVE ATTENUATED VARICELLA VIRUS;éIV› OSLABEN› VIRUS PLAN›CH NEäTOVIC;
16569;CALCIPOTRIOLUM MONOHYDRICUM;CALCIPOTRIOL MONOHYDRATE;MONOHYDR¡T KALCIPOTRIOLU;
16571;LYSATUM ESCHERICHIAE COLI CRYODESICCATUM;FREEZE-DRIED ESCHERICHIA COLI LYSATE;LYOFILIZOVAN› LYZ¡T ESCHERICHIA COLI;
16572;ERBII (169ER) CITRAS;ERBIUM (169ER) CITRATE;ERBIUM-(169ER)-CITR¡T;
16573;MIVACURIUM;MIVACURIUM (CATION);MIVAKURIUM;
16576;PROTEINUM PLASMATIS HUMANI;HUMAN PLASMA PROTEIN;LIDSK› PLAZMATICK› PROTEIN;
16590;ESCITALOPRAMI OXALAS;ESCITALOPRAM OXALATE;ESCITALOPRAM-OXAL¡T;
16592;ATROPINI SULFAS;ATROPINE SULFATE;ATROPIN-SULF¡T;
16593;ERTAPENEMUM NATRICUM;ERTAPENEM SODIUM;SODN¡ SŸL ERTAPENEMU;
16603;TIOTROPIUM;TIOTROPIUM (CATION);TIOTROPIUM;
16607;OSELTAMIVIRI PHOSPHAS;OSELTAMIVIR PHOSPHATE;OSELTAMIVIR-FOSF¡T;
16622;BAZEDOXIFENUM;BAZEDOXIFENE;BAZEDOXIFEN;
16626;DEFERASIROXUM;DEFERASIROX;DEFERASIROX;
16627;DEGARELIXUM;DEGARELIX;DEGARELIX;
16641;LONAFARNIBUM;LONAFARNIB;LONAFARNIB;
16653;PERAMIVIRUM;PERAMIVIR;PERAMIVIR;
16658;TIGECYCLINUM;TIGECYCLINE;TIGECYKLIN;
16661;TRABECTEDINUM;TRABECTEDIN;TRABEKTEDIN;
16671;NATRII ALENDRONAS MONOHYDRICUS;SODIUM ALENDRONATE MONOHYDRATE;MONOHYDR¡T NATRIUM-ALENDRON¡TU;
16697;ISOTHIAZOLINONA;ISOTHIAZOLINONES;ISOTHIAZOLINONY;
16700;BUTYLPHENOL-FORMALDEHYDI RESINA;BUTYLFENOL FORMALDEHYDE RESIN;BUTYLFENOL-FORMALDEHYDOV¡ PRYSKYÿICE;
16702;PARAPHENYLENDIAMINUM;PARAPHENYLENEDIAMINE;PARAFENYLENDIAMIN;
16704;FOMEPIZOLI SULFAS;FOMEPIZOLE SULFATE;FOMEPIZOL-SULF¡T;
16707;STREPTOCOCCI PNEUMONIAE SEROTYPI 4 POLYSACCHARIDUM;STREPTOCOCCUS PNEUMONIAE SEROTYPE 4 POLYSACCHARIDE;POLYSACHARID STREPTOCOCCUS PNEUMONIAE S…ROTYPU 4;
16708;STREPTOCOCCI PNEUMONIAE SEROTYPI 6B POLYSACCHARIDUM;STREPTOCOCCUS PNEUMONIAE SEROTYPE 6B POLYSACCHARIDE;POLYSACHARID STREPTOCOCCUS PNEUMONIAE S…ROTYPU 6B;
16709;STREPTOCOCCI PNEUMONIAE SEROTYPI 9V POLYSACCHARIDUM;STREPTOCOCCUS PNEUMONIAE SEROTYPE 9V POLYSACCHARIDE;POLYSACHARID STREPTOCOCCUS PNEUMONIAE S…ROTYPU 9V;
16710;STREPTOCOCCI PNEUMONIAE SEROTYPI 14 POLYSACCHARIDUM;STREPTOCOCCUS PNEUMONIAE SEROTYPE 14 POLYSACCHARIDE;POLYSACHARID STREPTOCOCCUS PNEUMONIAE S…ROTYPU 14;
16711;STREPTOCOCCI PNEUMONIAE SEROTYPI 18C POLYSACCHARIDUM;STREPTOCOCCUS PNEUMONIAE SEROTYPE 18C POLYSACCHARIDE;POLYSACHARID STREPTOCOCCUS PNEUMONIAE S…ROTYPU 18C;
16712;STREPTOCOCCI PNEUMONIAE SEROTYPI 19F POLYSACCHARIDUM;STREPTOCOCCUS PNEUMONIAE SEROTYPE 19F POLYSACCHARIDE;POLYSACHARID STREPTOCOCCUS PNEUMONIAE S…ROTYPU 19F;
16713;STREPTOCOCCI PNEUMONIAE SEROTYPI 23F POLYSACCHARIDUM;STREPTOCOCCUS PNEUMONIAE SEROTYPE 23F POLYSACCHARIDE;POLYSACHARID STREPTOCOCCUS PNEUMONIAE S…ROTYPU 23F;
16715;OLOPATADINI HYDROCHLORIDUM;OLOPATADINE HYDROCHLORIDE;OLOPATADIN-HYDROCHLORID;
16719;ASENAPINUM;ASENAPINE;ASENAPIN;
16725;DABIGATRANUM ETEXILATUM;DABIGATRAN ETEXILATE;DABIGATRAN-ETEXIL¡T;
16728;ECULIZUMABUM;ECULIZUMAB;EKULIZUMAB;
16734;ESZOPICLONUM;ESZOPICLONE;ESZOPIKLON;
16738;IDURSULFASUM;IDURSULFASE;IDURSULFASA;
16742;LIRAGLUTIDUM;LIRAGLUTIDE;LIRAGLUTID;
16765;TAPENTADOLUM;TAPENTADOL;TAPENTADOL;1
16773;TREPROSTINILUM;TREPROSTINIL;TREPROSTINIL;
16778;INHIBITOR C1-ESTERASI HUMANUS;HUMAN C1-ESTERASE INHIBITOR;LIDSK› INHIBITOR C1-ESTERASY;
16789;TREPROSTINILUM NATRICUM;TREPROSTINIL SODIUM;SODN¡ SŸL TREPROSTINILU;
16800;ACIDUM LACTICUM S;(S)-LACTIC ACID;KYSELINA ML…»N¡ S;
16806;VALGANCICLOVIRI HYDROCHLORIDUM;VALGANCICLOVIR HYDROCHLORIDE;VALGANCIKLOVIR-HYDROCHLORID;
16807;LOTEPREDNOLI ETABONAS;LOTEPREDNOL ETABONATE;LOTEPREDNOL-ETABON¡T;
16808;TACROLIMUSUM MONOHYDRICUM;TACROLIMUS MONOHYDRATE;MONOHYDR¡T TAKROLIMU;
